Epoch accuracy  Validation_accuracy  Loss  Validation_Loss
1  0.7094666957855225  0.9463000297546387  0.8797633647918701  0.1780322641134262
2  0.9134166836738586  0.961899995803833  0.2811972200870514  0.12131291627883911
3  0.9302166700363159  0.9677000045776367  0.22640708088874817  0.10423275083303452
4  0.939216673374176  0.9704999923706055  0.19899317622184753  0.09200497716665268
5  0.9439666867256165  0.974399983882904  0.17907147109508514  0.08191339671611786
6  0.949916660785675  0.9751999974250793  0.16503433883190155  0.07248228043317795
7  0.9519166946411133  0.9761000275611877  0.15514126420021057  0.07075226306915283
8  0.9526166915893555  0.9763000011444092  0.1521158218383789  0.07009199261665344
9  0.9550166726112366  0.9776999950408936  0.14401663839817047  0.06534555554389954
10  0.956849992275238  0.9781000018119812  0.13881616294384003  0.06498505920171738
11  0.9587833285331726  0.9782999753952026  0.13195836544036865  0.06014397740364075
12  0.9602500200271606  0.979200005531311  0.12763793766498566  0.06118554621934891
13  0.9609000086784363  0.9796000123023987  0.12349860370159149  0.056889720261096954
14  0.9623833298683167  0.9814000129699707  0.11982335895299911  0.0537695437669754
15  0.9633499979972839  0.9818999767303467  0.11787425726652145  0.05313039571046829
16  0.9639166593551636  0.98089998960495  0.11473772674798965  0.0557357557117939
17  0.9643999934196472  0.982699990272522  0.11278253048658371  0.053261637687683105
18  0.9651166796684265  0.9829000234603882  0.11032069474458694  0.05298180505633354
19  0.9660000205039978  0.9829999804496765  0.10706804692745209  0.0522373728454113
20  0.9662666916847229  0.9835000038146973  0.10736692696809769  0.0497337281703949
21  0.9680666923522949  0.9840999841690063  0.10098769515752792  0.047715842723846436
22  0.9679166674613953  0.982699990272522  0.10100706666707993  0.049412693828344345
23  0.9682833552360535  0.984000027179718  0.10083621740341187  0.04812771454453468
24  0.9692500233650208  0.984000027179718  0.09856698662042618  0.04879220202565193
25  0.9690166711807251  0.9843000173568726  0.09682447463274002  0.04694880545139313
26  0.9696333408355713  0.984000027179718  0.09472548216581345  0.0492624007165432
27  0.970633327960968  0.9817000031471252  0.09255938231945038  0.05438508465886116
28  0.97038334608078  0.9860000014305115  0.09360147267580032  0.044476430863142014
29  0.9704166650772095  0.9846000075340271  0.09157425165176392  0.04592186212539673
30  0.9714499711990356  0.9853000044822693  0.0886853039264679  0.045725539326667786
31  0.9713000059127808  0.9854999780654907  0.08880908042192459  0.046061936765909195
32  0.9713166952133179  0.9854999780654907  0.09058111906051636  0.044730350375175476
33  0.9723833203315735  0.9850999712944031  0.08779065310955048  0.044960349798202515
34  0.9724666476249695  0.9857000112533569  0.08627547323703766  0.04377097636461258
35  0.9726333618164062  0.9854999780654907  0.08590690791606903  0.04506593197584152
36  0.9725499749183655  0.9855999946594238  0.08560223877429962  0.04486355558037758
37  0.9749000072479248  0.9847000241279602  0.08037912100553513  0.04663408175110817
38  0.9736166596412659  0.9857000112533569  0.08143012970685959  0.04366519674658775
39  0.9739500284194946  0.986299991607666  0.08177435398101807  0.040566980838775635
40  0.9745833277702332  0.9851999878883362  0.07891151309013367  0.042330484837293625
