Epoch accuracy  Validation_accuracy  Loss  Validation_Loss
1  0.8082000017166138  0.9621999859809875  0.593620240688324  0.1235557347536087
2  0.9480833411216736  0.9751999974250793  0.16939027607440948  0.0797455757856369
3  0.9622666835784912  0.9800999760627747  0.1234700009226799  0.06343086063861847
4  0.968999981880188  0.9836999773979187  0.10229886323213577  0.04942445456981659
5  0.972183346748352  0.98580002784729  0.09044276177883148  0.04632517322897911
6  0.9750666618347168  0.9851999878883362  0.08110740780830383  0.04242226108908653
7  0.9782999753952026  0.9882000088691711  0.07118697464466095  0.03509106487035751
8  0.9804333448410034  0.9883000254631042  0.06587246805429459  0.03790735453367233
9  0.9811000227928162  0.9890999794006348  0.061620619148015976  0.033863212913274765
10  0.9821000099182129  0.9894000291824341  0.057388707995414734  0.03133975341916084
11  0.9829166531562805  0.9891999959945679  0.05442418158054352  0.031796131283044815
12  0.9840166568756104  0.9908000230789185  0.05131355673074722  0.028799649327993393
13  0.9853333234786987  0.9901999831199646  0.0485902801156044  0.027030371129512787
14  0.9857166409492493  0.9900000095367432  0.04622442275285721  0.026452267542481422
15  0.9861166477203369  0.9908999800682068  0.0440186969935894  0.026835918426513672
16  0.9871333241462708  0.991100013256073  0.04163231700658798  0.02665010653436184
17  0.9880499839782715  0.9916999936103821  0.04009126499295235  0.025202874094247818
18  0.9877499938011169  0.9908999800682068  0.039680320769548416  0.025544192641973495
19  0.9886000156402588  0.9905999898910522  0.03659374639391899  0.026927020400762558
20  0.9886999726295471  0.9922000169754028  0.035535410046577454  0.02278147265315056
21  0.9890166521072388  0.9918000102043152  0.03459668904542923  0.02289578877389431
22  0.9891666769981384  0.9922000169754028  0.0341925173997879  0.02147473581135273
23  0.989983320236206  0.9919999837875366  0.03256310522556305  0.02256045490503311
24  0.9900333285331726  0.9922000169754028  0.03150901198387146  0.021817941218614578
25  0.9901000261306763  0.9926999807357788  0.03072412870824337  0.02171294018626213
26  0.9907833337783813  0.9925000071525574  0.029034323990345  0.0222457405179739
27  0.991016685962677  0.9925000071525574  0.02832864038646221  0.02349192462861538
28  0.9903333187103271  0.9922999739646912  0.029376110062003136  0.0217331163585186
29  0.9916499853134155  0.9930999875068665  0.026354368776082993  0.020741652697324753
30  0.9919333457946777  0.9923999905586243  0.025590023025870323  0.01941753923892975
31  0.9917333126068115  0.9926999807357788  0.02539708837866783  0.0214080847799778
32  0.9919999837875366  0.9933000206947327  0.024956194683909416  0.02054605260491371
33  0.9924666881561279  0.9925000071525574  0.02395716682076454  0.02124292030930519
34  0.9920833110809326  0.9929999709129333  0.023824600502848625  0.019458580762147903
35  0.9927666783332825  0.9937000274658203  0.02275598980486393  0.019000953063368797
36  0.9924499988555908  0.9927999973297119  0.023265840485692024  0.01997624710202217
37  0.9935166835784912  0.9932000041007996  0.021002935245633125  0.02032841183245182
38  0.9929166436195374  0.9930999875068665  0.021761896088719368  0.01843288354575634
39  0.9930833578109741  0.9934999942779541  0.021887287497520447  0.020032517611980438
40  0.9935333132743835  0.9930999875068665  0.01950260065495968  0.019279783591628075
