Epoch accuracy  Validation_accuracy  Loss  Validation_Loss
1  0.7420333623886108  0.9537000060081482  0.7716925740242004  0.15189290046691895
2  0.9339333176612854  0.9661999940872192  0.21606102585792542  0.10756975412368774
3  0.9524166584014893  0.9763000011444092  0.15630845725536346  0.07526595145463943
4  0.9602500200271606  0.9789999723434448  0.13158956170082092  0.06581457704305649
5  0.965316653251648  0.9818999767303467  0.11268303543329239  0.0580776184797287
6  0.9688833355903625  0.9836000204086304  0.10204239189624786  0.049786947667598724
7  0.9711999893188477  0.9858999848365784  0.09312513470649719  0.04551904276013374
8  0.9723666906356812  0.9850999712944031  0.08755646646022797  0.04641430824995041
9  0.9745166897773743  0.9857000112533569  0.08329097181558609  0.04269523173570633
10  0.9770500063896179  0.9873999953269958  0.07532547414302826  0.03817102313041687
11  0.9776666760444641  0.9878000020980835  0.07381753623485565  0.037060171365737915
12  0.9783166646957397  0.9889000058174133  0.06928511708974838  0.034913159906864166
13  0.9804333448410034  0.9886000156402588  0.06531243026256561  0.03332166746258736
14  0.9803000092506409  0.9901000261306763  0.0638849064707756  0.031082553789019585
15  0.9815499782562256  0.9915000200271606  0.06044919043779373  0.027794664725661278
16  0.9815166592597961  0.9897000193595886  0.05827847123146057  0.03200078383088112
17  0.9830999970436096  0.9905999898910522  0.05477811396121979  0.028320135548710823
18  0.9824666380882263  0.9905999898910522  0.055025629699230194  0.027524322271347046
19  0.9837499856948853  0.9890000224113464  0.0518827922642231  0.03221378102898598
20  0.9837333559989929  0.9904999732971191  0.05206092447042465  0.029348058626055717
21  0.9835833311080933  0.9919000267982483  0.050734639167785645  0.025571433827280998
22  0.9851166605949402  0.9905999898910522  0.047810278832912445  0.027444543316960335
23  0.9843500256538391  0.9907000064849854  0.04852934926748276  0.027397848665714264
24  0.9855666756629944  0.9915000200271606  0.04540340602397919  0.026486629620194435
25  0.9850000143051147  0.9907000064849854  0.04729990288615227  0.027528733015060425
26  0.9857500195503235  0.9902999997138977  0.04530498385429382  0.02642887830734253
27  0.9870333075523376  0.9907000064849854  0.04144424945116043  0.02613476850092411
28  0.9872333407402039  0.991599977016449  0.04020987078547478  0.022955620661377907
29  0.9872999787330627  0.9922999739646912  0.03932225704193115  0.02260170690715313
30  0.987416684627533  0.9923999905586243  0.04049110412597656  0.02316424250602722
31  0.9872999787330627  0.9912999868392944  0.04009633511304855  0.023218614980578423
32  0.988183319568634  0.9914000034332275  0.03740189969539642  0.023817850276827812
33  0.9872833490371704  0.9909999966621399  0.03950764983892441  0.02419094741344452
34  0.9886666536331177  0.991100013256073  0.035638850182294846  0.025070050731301308
35  0.9886999726295471  0.9919000267982483  0.03491218760609627  0.023027900606393814
36  0.9889000058174133  0.9919000267982483  0.03515365719795227  0.0224590040743351
37  0.9888499975204468  0.9916999936103821  0.03460323065519333  0.023385779932141304
38  0.9891999959945679  0.9921000003814697  0.034164998680353165  0.021447451785206795
39  0.9891999959945679  0.9926000237464905  0.03417319804430008  0.022197479382157326
40  0.989300012588501  0.9916999936103821  0.033654700964689255  0.022702369838953018
