Epoch accuracy  Validation_accuracy  Loss  Validation_Loss
1  0.8504666686058044  0.9589999914169312  0.4894087612628937  0.13882601261138916
2  0.9640666842460632  0.9736999869346619  0.12033326923847198  0.08761417120695114
3  0.9734500050544739  0.9779999852180481  0.08594397455453873  0.0717720165848732
4  0.9786499738693237  0.9832000136375427  0.06958454847335815  0.05464206635951996
5  0.9818166494369507  0.9836999773979187  0.05935307964682579  0.05137339606881142
6  0.9837999939918518  0.9837999939918518  0.05174156650900841  0.04993061348795891
7  0.9856666922569275  0.9847000241279602  0.04561016336083412  0.046781301498413086
8  0.9871666431427002  0.9822999835014343  0.04065413028001785  0.05530572682619095
9  0.988016664981842  0.9843999743461609  0.037195976823568344  0.04362449795007706
10  0.9898166656494141  0.9882000088691711  0.03330492600798607  0.03676528483629227
11  0.9902999997138977  0.9868999719619751  0.030733183026313782  0.0392935536801815
12  0.9909499883651733  0.984000027179718  0.02844705805182457  0.050024040043354034
13  0.9918666481971741  0.9886999726295471  0.025359999388456345  0.036474164575338364
14  0.993149995803833  0.9876000285148621  0.023118656128644943  0.039051659405231476
15  0.9930333495140076  0.9878000020980835  0.02141754887998104  0.03902726247906685
16  0.9936833381652832  0.9829999804496765  0.019965777173638344  0.05062606930732727
17  0.9944000244140625  0.9890999794006348  0.017852630466222763  0.03628311678767204
18  0.9949333071708679  0.9882000088691711  0.016901232302188873  0.038283832371234894
19  0.9952166676521301  0.9886000156402588  0.01552252285182476  0.035661350935697556
20  0.9955999851226807  0.9890999794006348  0.01398630253970623  0.034728821367025375
21  0.9959166646003723  0.9887999892234802  0.012804157100617886  0.036657728254795074
22  0.9962166547775269  0.9868999719619751  0.012351298704743385  0.04237896203994751
23  0.9962499737739563  0.9884999990463257  0.01152490172535181  0.03561398386955261
24  0.9969666600227356  0.9886000156402588  0.010049254633486271  0.036868736147880554
25  0.9971666932106018  0.9897000193595886  0.009457810781896114  0.03531935065984726
26  0.9976833462715149  0.9898999929428101  0.008220195770263672  0.037794310599565506
27  0.9978333115577698  0.988099992275238  0.007720665540546179  0.04067913070321083
28  0.9975500106811523  0.9900000095367432  0.007721514906734228  0.03623868152499199
29  0.9981666803359985  0.9909999966621399  0.006683105602860451  0.03528754785656929
30  0.9984666705131531  0.9900000095367432  0.00597118167206645  0.03785179927945137
31  0.9988833069801331  0.9902999997138977  0.005006304942071438  0.037372834980487823
32  0.9988166689872742  0.9894000291824341  0.00473173288628459  0.039872702211141586
33  0.9987166523933411  0.9890999794006348  0.005001717712730169  0.04095470905303955
34  0.9990500211715698  0.9896000027656555  0.0039759608916938305  0.03903079405426979
35  0.9991166591644287  0.9894000291824341  0.003810108872130513  0.03919057920575142
36  0.9992833137512207  0.9884999990463257  0.0033081676810979843  0.04395364969968796
37  0.9993333220481873  0.989300012588501  0.002983901184052229  0.04234438017010689
38  0.9993666410446167  0.9901000261306763  0.0027920843567699194  0.04076794907450676
39  0.9994333386421204  0.989799976348877  0.0024509294889867306  0.04337691515684128
40  0.9995499849319458  0.9900000095367432  0.0020734441932290792  0.041619330644607544
