#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -7.85046            -7.85046                   0
                   2            -7.85024            -7.85035         7.62479e-05
                   3            -7.84959             -7.8501         0.000211425
                   4            -7.84852             -7.8497         0.000376753
                   5            -7.84701            -7.84916         0.000567555
                   6            -7.84508            -7.84848         0.000780751
                   7            -7.84272            -7.84766          0.00101414
                   8            -7.83994             -7.8467          0.00126604
                   9            -7.83673            -7.84559          0.00153512
                  10            -7.83277            -7.84431          0.00184034
                  11             -7.8284            -7.84286          0.00216805
                  12            -7.82263            -7.84117           0.0025601
                  13            -7.81678             -7.8393          0.00297244
                  14            -7.81084            -7.83727           0.0033847
                  15            -7.80383            -7.83504          0.00382318
                  16            -7.79609             -7.8326          0.00428967
                  17            -7.78891            -7.83003          0.00474513
                  18            -7.78003            -7.82725          0.00523175
                  19            -7.77042            -7.82426          0.00574822
                  20            -7.76041            -7.82107          0.00628522
                  21            -7.75032             -7.8177          0.00682955
                  22            -7.73885            -7.81412          0.00740003
                  23            -7.72699            -7.81033          0.00798925
                  24            -7.71505            -7.80636          0.00858618
                  25            -7.70369            -7.80225          0.00917237
                  26            -7.69226            -7.79802           0.0097465
                  27             -7.6801            -7.79365           0.0103177
                  28            -7.66659            -7.78912           0.0109017
                  29            -7.65268            -7.78441           0.0114962
                  30            -7.63871            -7.77956           0.0120954
                  31            -7.62436            -7.77455           0.0126991
                  32            -7.60898            -7.76937           0.0133146
                  33            -7.59484            -7.76409            0.013922
                  34            -7.58097             -7.7587           0.0145169
                  35            -7.56705            -7.75322           0.0150997
                  36            -7.55113            -7.74761           0.0156891
                  37            -7.53615             -7.7419           0.0162727
                  38            -7.52015            -7.73606           0.0168584
                  39            -7.50412            -7.73011           0.0174436
                  40            -7.48774            -7.72405           0.0180292
                  41            -7.47068            -7.71787           0.0186185
                  42            -7.45393            -7.71159           0.0192065
                  43            -7.43717            -7.70521           0.0197917
                  44            -7.41877             -7.6987           0.0203844
                  45            -7.40103            -7.69208           0.0209773
                  46            -7.38264            -7.68536           0.0215729
                  47            -7.36426            -7.67852           0.0221693
                  48            -7.34559            -7.67159           0.0227667
                  49            -7.32629            -7.66454           0.0233672
                  50            -7.30638            -7.65738           0.0239727
                  51            -7.28716            -7.65012           0.0245772
                  52            -7.26735            -7.64276           0.0251828
                  53             -7.2476             -7.6353           0.0257877
                  54            -7.22728            -7.62775           0.0263939
                  55            -7.20543            -7.62007           0.0270079
                  56            -7.18464            -7.61229           0.0276222
                  57            -7.16331            -7.60441           0.0282384
                  58            -7.14081            -7.59642           0.0288606
                  59            -7.12006            -7.58835           0.0294792
                  60            -7.09881            -7.58019           0.0300957
                  61            -7.07739            -7.57195           0.0307104
                  62            -7.05615            -7.56363           0.0313216
                  63            -7.03477            -7.55523           0.0319296
                  64            -7.01294            -7.54676           0.0325356
                  65              -6.991            -7.53821           0.0331394
                  66             -6.9693            -7.52959           0.0337397
                  67             -6.9472             -7.5209           0.0343376
                  68            -6.92472            -7.51213           0.0349339
                  69            -6.90253            -7.50329           0.0355272
                  70            -6.87966            -7.49439           0.0361195
                  71            -6.85712            -7.48541            0.036709
                  72            -6.83491            -7.47638           0.0372944
                  73            -6.81208            -7.46728           0.0378775
                  74            -6.78996            -7.45812           0.0384556
                  75             -6.7679            -7.44892           0.0390286
                  76            -6.74625            -7.43967            0.039595
                  77            -6.72472            -7.43039           0.0401547
                  78            -6.70266            -7.42106           0.0407094
                  79            -6.68139             -7.4117           0.0412567
                  80            -6.65997             -7.4023           0.0417974
                  81            -6.63906            -7.39288           0.0423302
                  82            -6.61835            -7.38343           0.0428548
                  83            -6.59754            -7.37396           0.0433719
                  84            -6.57729            -7.36448           0.0438803
                  85            -6.55698            -7.35498           0.0443805
                  86             -6.5376            -7.34547           0.0448706
                  87            -6.51787            -7.33596            0.045352
                  88            -6.49909            -7.32645           0.0458229
                  89            -6.48033            -7.31694           0.0462837
                  90            -6.46159            -7.30744            0.046735
                  91            -6.44354            -7.29795           0.0471758
                  92            -6.42554            -7.28846           0.0476065
                  93            -6.40729            -7.27899           0.0480283
                  94            -6.39042            -7.26954           0.0484387
                  95            -6.37396            -7.26011           0.0488375
                  96            -6.35794            -7.25071           0.0492247
                  97            -6.34204            -7.24134           0.0496005
                  98            -6.32659            -7.23201            0.049965
                  99            -6.31193            -7.22272           0.0503172
                 100            -6.29743            -7.21346           0.0506577
                 101            -6.28308            -7.20425           0.0509868
                 102            -6.26954            -7.19509           0.0513038
                 103            -6.25683            -7.18598           0.0516081
                 104            -6.24462            -7.17693           0.0518995
                 105            -6.23259            -7.16793           0.0521787
                 106            -6.22172            -7.15901           0.0524444
                 107            -6.21072            -7.15014           0.0526978
                 108            -6.20056            -7.14135           0.0529383
                 109            -6.19026            -7.13263           0.0531668
                 110            -6.18146            -7.12398            0.053382
                 111            -6.17285            -7.11541           0.0535844
                 112            -6.16475            -7.10692           0.0537741
                 113            -6.15717            -7.09852            0.053951
                 114            -6.15074             -7.0902           0.0541146
                 115            -6.14385            -7.08197           0.0542661
                 116            -6.13779            -7.07384           0.0544053
                 117            -6.13223            -7.06579           0.0545323
                 118            -6.12715            -7.05783           0.0546472
                 119            -6.12224            -7.04997           0.0547507
                 120             -6.1178             -7.0422           0.0548427
                 121            -6.11384            -7.03453           0.0549235
                 122            -6.11098            -7.02696           0.0549925
                 123            -6.10825            -7.01949           0.0550503
                 124            -6.10565            -7.01212           0.0550975
                 125             -6.1038            -7.00485           0.0551338
                 126            -6.10237            -6.99769           0.0551595
                 127            -6.10136            -6.99063           0.0551749
                 128            -6.10075            -6.98368           0.0551801
                 129            -6.10053            -6.97684           0.0551754
                 130            -6.10101             -6.9701           0.0551608
                 131            -6.10153            -6.96347           0.0551367
                 132            -6.10209            -6.95694           0.0551038
                 133            -6.10331            -6.95052            0.055062
                 134            -6.10486            -6.94421           0.0550116
                 135            -6.10705            -6.93801           0.0549525
                 136            -6.10923            -6.93192           0.0548853
                 137            -6.11169            -6.92593           0.0548103
                 138            -6.11443            -6.92005           0.0547276
                 139            -6.11712            -6.91427           0.0546379
                 140             -6.1207            -6.90861           0.0545409
                 141            -6.12388            -6.90304           0.0544373
                 142             -6.1276            -6.89758           0.0543271
                 143             -6.1309            -6.89222           0.0542111
                 144            -6.13504            -6.88696           0.0540891
                 145            -6.13969            -6.88181            0.053961
                 146            -6.14452            -6.87676           0.0538272
                 147            -6.14886            -6.87181           0.0536883
                 148            -6.15336            -6.86695           0.0535445
                 149            -6.15799            -6.86219           0.0533962
                 150            -6.16274            -6.85753           0.0532434
                 151            -6.16762            -6.85296           0.0530865
                 152            -6.17324            -6.84849           0.0529252
                 153            -6.17895            -6.84411           0.0527599
                 154             -6.1841            -6.83983           0.0525911
                 155            -6.18964            -6.83563           0.0524188
                 156            -6.19654            -6.83154           0.0522427
                 157            -6.20219            -6.82753           0.0520635
                 158            -6.20788             -6.8236           0.0518814
                 159             -6.2136            -6.81977           0.0516968
                 160            -6.21933            -6.81602           0.0515097
                 161            -6.22508            -6.81235           0.0513204
                 162            -6.23084            -6.80876            0.051129
                 163            -6.23529            -6.80524           0.0509362
                 164            -6.24102             -6.8018           0.0507417
                 165            -6.24641            -6.79843           0.0505457
                 166            -6.25177            -6.79514           0.0503483
                 167             -6.2571            -6.79192           0.0501498
                 168             -6.2627            -6.78877           0.0499502
                 169            -6.26794            -6.78568           0.0497496
                 170            -6.27344            -6.78267           0.0495481
                 171            -6.27921            -6.77973           0.0493457
                 172            -6.28459            -6.77685           0.0491427
                 173            -6.29022            -6.77404           0.0489391
                 174            -6.29513            -6.77128           0.0487352
                 175            -6.30028            -6.76859            0.048531
                 176            -6.30535            -6.76596           0.0483265
                 177            -6.31033            -6.76339            0.048122
                 178            -6.31522            -6.76087           0.0479175
                 179            -6.31969             -6.7584           0.0477131
                 180             -6.3244            -6.75599            0.047509
                 181              -6.329            -6.75363            0.047305
                 182             -6.3335            -6.75132           0.0471014
                 183             -6.3379            -6.74906           0.0468981
                 184            -6.34252            -6.74686           0.0466953
                 185            -6.34638            -6.74469            0.046493
                 186            -6.35079            -6.74257           0.0462913
                 187            -6.35509             -6.7405           0.0460901
                 188            -6.35928            -6.73847           0.0458895
                 189            -6.36304            -6.73649           0.0456897
                 190            -6.36669            -6.73454           0.0454906
                 191            -6.37024            -6.73263           0.0452924
                 192              -6.374            -6.73077            0.045095
                 193            -6.37701            -6.72893           0.0448986
                 194            -6.37958            -6.72713           0.0447033
                 195             -6.3827            -6.72537           0.0445089
                 196            -6.38604            -6.72363           0.0443155
                 197            -6.38896            -6.72194           0.0441231
                 198            -6.39145            -6.72027           0.0439318
                 199            -6.39416            -6.71863           0.0437416
                 200            -6.39646            -6.71702           0.0435525
                 201            -6.39898            -6.71543           0.0433646
                 202            -6.40141            -6.71388           0.0431778
                 203            -6.40343            -6.71235           0.0429921
                 204            -6.40535            -6.71085           0.0428077
                 205            -6.40719            -6.70936           0.0426245
                 206            -6.40928            -6.70791           0.0424425
                 207            -6.41128            -6.70647           0.0422616
                 208            -6.41385            -6.70507           0.0420819
                 209            -6.41569            -6.70368           0.0419033
                 210            -6.41779            -6.70232           0.0417259
                 211             -6.4195            -6.70098           0.0415496
                 212            -6.42178            -6.69966           0.0413745
                 213            -6.42304            -6.69837           0.0412006
                 214            -6.42488            -6.69709           0.0410279
                 215            -6.42633            -6.69583           0.0408564
                 216            -6.42839            -6.69459            0.040686
                 217            -6.42974            -6.69337           0.0405168
                 218            -6.43072            -6.69216           0.0403489
                 219             -6.4323            -6.69098           0.0401821
                 220            -6.43352            -6.68981           0.0400165
                 221            -6.43502            -6.68865            0.039852
                 222            -6.43551            -6.68751           0.0396888
                 223            -6.43695            -6.68639           0.0395267
                 224             -6.4377            -6.68528           0.0393659
                 225            -6.43875            -6.68419           0.0392062
                 226             -6.4401            -6.68311           0.0390476
                 227             -6.4411            -6.68204           0.0388901
                 228            -6.44209            -6.68099           0.0387338
                 229            -6.44338            -6.67995           0.0385785
                 230            -6.44433            -6.67892           0.0384244
                 231            -6.44494            -6.67791           0.0382714
                 232             -6.4462            -6.67691           0.0381195
                 233            -6.44744            -6.67593           0.0379686
                 234            -6.44803            -6.67495           0.0378188
                 235            -6.44895            -6.67399           0.0376701
                 236            -6.44986            -6.67304           0.0375224
                 237            -6.45109            -6.67211           0.0373758
                 238            -6.45201            -6.67118           0.0372302
                 239            -6.45293            -6.67027           0.0370856
                 240             -6.4545            -6.66937            0.036942
                 241            -6.45609            -6.66848           0.0367993
                 242            -6.45736            -6.66761           0.0366576
                 243            -6.45799            -6.66675           0.0365169
                 244            -6.45929             -6.6659           0.0363771
                 245             -6.4606            -6.66506           0.0362383
                 246            -6.46161            -6.66423           0.0361004
                 247            -6.46263            -6.66342           0.0359635
                 248            -6.46367            -6.66261           0.0358275
                 249            -6.46506            -6.66182           0.0356924
                 250            -6.46647            -6.66104           0.0355582
                 251            -6.46758            -6.66027           0.0354249
                 252            -6.46839            -6.65951           0.0352925
                 253            -6.46923            -6.65875            0.035161
                 254            -6.47074            -6.65801           0.0350303
                 255            -6.47228            -6.65728           0.0349005
                 256            -6.47417            -6.65657           0.0347715
                 257            -6.47545            -6.65586           0.0346434
                 258             -6.4774            -6.65517            0.034516
                 259            -6.47874            -6.65449           0.0343895
                 260            -6.47946            -6.65382           0.0342638
                 261            -6.48086            -6.65316           0.0341389
                 262            -6.48198             -6.6525           0.0340149
                 263            -6.48345            -6.65186           0.0338916
                 264            -6.48561            -6.65123           0.0337691
                 265            -6.48747            -6.65061           0.0336473
                 266            -6.48938            -6.65001           0.0335263
                 267              -6.491            -6.64941            0.033406
                 268            -6.49266            -6.64883           0.0332865
                 269            -6.49436            -6.64825           0.0331677
                 270            -6.49576            -6.64769           0.0330496
                 271            -6.49721            -6.64713           0.0329323
                 272            -6.49967            -6.64659           0.0328157
                 273            -6.50151            -6.64606           0.0326998
                 274            -6.50307            -6.64554           0.0325847
                 275            -6.50467            -6.64502           0.0324702
                 276            -6.50695            -6.64452           0.0323564
                 277            -6.50928            -6.64404           0.0322433
                 278            -6.51131            -6.64356           0.0321308
                 279            -6.51403            -6.64309            0.032019
                 280            -6.51647            -6.64264           0.0319078
                 281            -6.51861             -6.6422           0.0317974
                 282             -6.5208            -6.64177           0.0316875
                 283            -6.52236            -6.64135           0.0315783
                 284            -6.52462            -6.64094           0.0314698
                 285            -6.52657            -6.64054            0.031362
                 286            -6.52889            -6.64014           0.0312547
                 287            -6.53156            -6.63977           0.0311481
                 288            -6.53425             -6.6394           0.0310421
                 289            -6.53666            -6.63904           0.0309368
                 290            -6.53974             -6.6387            0.030832
                 291            -6.54285            -6.63837           0.0307278
                 292            -6.54566            -6.63806           0.0306242
                 293            -6.54849            -6.63775           0.0305212
                 294            -6.55005            -6.63745           0.0304188
                 295            -6.55261            -6.63716           0.0303171
                 296            -6.55486            -6.63689           0.0302159
                 297            -6.55713            -6.63662           0.0301154
                 298            -6.56007            -6.63636           0.0300154
                 299            -6.56205            -6.63611           0.0299161
                 300            -6.56469            -6.63587           0.0298173
                 301            -6.56701            -6.63564           0.0297191
                 302            -6.56968            -6.63543           0.0296215
                 303            -6.57203            -6.63522           0.0295245
                 304            -6.57471            -6.63502            0.029428
