#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        3.958942e+00        3.958942e+00        0.000000e+00
                   2        3.960038e+00        3.959490e+00        3.875062e-04
                   3        3.963322e+00        3.960767e+00        1.074532e-03
                   4        3.968790e+00        3.962773e+00        1.914842e-03
                   5        3.976437e+00        3.965506e+00        2.884642e-03
                   6        3.986257e+00        3.968964e+00        3.968245e-03
                   7        3.998246e+00        3.973147e+00        5.154414e-03
                   8        4.012398e+00        3.978054e+00        6.434558e-03
                   9        4.028705e+00        3.983682e+00        7.801810e-03
                  10        4.047867e+00        3.990100e+00        9.294131e-03
                  11        4.069166e+00        3.997288e+00        1.087920e-02
                  12        4.094718e+00        4.005407e+00        1.264437e-02
                  13        4.121682e+00        4.014351e+00        1.449392e-02
                  14        4.150047e+00        4.024044e+00        1.638203e-02
                  15        4.181934e+00        4.034570e+00        1.836278e-02
                  16        4.216624e+00        4.045948e+00        2.043857e-02
                  17        4.251279e+00        4.058027e+00        2.252417e-02
                  18        4.290832e+00        4.070960e+00        2.470868e-02
                  19        4.333157e+00        4.084760e+00        2.698810e-02
                  20        4.377535e+00        4.099399e+00        2.934146e-02
                  21        4.423252e+00        4.114820e+00        3.173927e-02
                  22        4.473116e+00        4.131107e+00        3.422083e-02
                  23        4.524997e+00        4.148232e+00        3.676935e-02
                  24        4.578180e+00        4.166147e+00        3.936017e-02
                  25        4.631236e+00        4.184750e+00        4.195251e-02
                  26        4.685574e+00        4.204013e+00        4.454214e-02
                  27        4.742589e+00        4.223960e+00        4.714782e-02
                  28        4.803670e+00        4.244664e+00        4.980278e-02
                  29        4.866684e+00        4.266113e+00        5.250147e-02
                  30        4.930910e+00        4.288273e+00        5.523043e-02
                  31        4.997037e+00        4.311136e+00        5.798832e-02
                  32        5.066453e+00        4.334740e+00        6.079050e-02
                  33        5.134203e+00        4.358966e+00        6.359270e-02
                  34        5.202385e+00        4.383772e+00        6.638454e-02
                  35        5.271685e+00        4.409141e+00        6.916557e-02
                  36        5.346313e+00        4.435174e+00        7.197683e-02
                  37        5.419888e+00        4.461788e+00        7.479017e-02
                  38        5.496624e+00        4.489020e+00        7.762177e-02
                  39        5.574373e+00        4.516850e+00        8.046580e-02
                  40        5.653815e+00        4.545274e+00        8.332339e-02
                  41        5.735623e+00        4.574307e+00        8.620090e-02
                  42        5.817650e+00        4.603910e+00        8.908684e-02
                  43        5.900569e+00        4.634065e+00        9.197711e-02
                  44        5.987878e+00        4.664834e+00        9.489365e-02
                  45        6.074594e+00        4.696162e+00        9.781959e-02
                  46        6.163505e+00        4.728060e+00        1.007600e-01
                  47        6.253160e+00        4.760509e+00        1.037096e-01
                  48        6.344224e+00        4.793503e+00        1.066683e-01
                  49        6.437361e+00        4.827052e+00        1.096401e-01
                  50        6.532523e+00        4.861161e+00        1.126282e-01
                  51        6.626842e+00        4.895782e+00        1.156186e-01
                  52        6.723093e+00        4.930923e+00        1.186152e-01
                  53        6.819813e+00        4.966562e+00        1.216136e-01
                  54        6.918362e+00        5.002707e+00        1.246170e-01
                  55        7.020802e+00        5.039399e+00        1.276389e-01
                  56        7.121428e+00        5.076578e+00        1.306623e-01
                  57        7.223714e+00        5.114247e+00        1.336896e-01
                  58        7.329008e+00        5.152433e+00        1.367293e-01
                  59        7.430896e+00        5.191051e+00        1.397592e-01
                  60        7.534255e+00        5.230104e+00        1.427821e-01
                  61        7.638313e+00        5.269583e+00        1.457971e-01
                  62        7.742295e+00        5.309466e+00        1.488005e-01
                  63        7.846837e+00        5.349741e+00        1.517915e-01
                  64        7.952572e+00        5.390411e+00        1.547721e-01
                  65        8.058720e+00        5.431461e+00        1.577411e-01
                  66        8.164498e+00        5.472871e+00        1.606945e-01
                  67        8.271242e+00        5.514638e+00        1.636340e-01
                  68        8.378870e+00        5.556759e+00        1.665606e-01
                  69        8.485891e+00        5.599210e+00        1.694701e-01
                  70        8.594339e+00        5.641998e+00        1.723660e-01
                  71        8.702013e+00        5.685096e+00        1.752437e-01
                  72        8.808829e+00        5.728482e+00        1.780993e-01
                  73        8.916818e+00        5.772157e+00        1.809357e-01
                  74        9.023070e+00        5.816089e+00        1.837465e-01
                  75        9.128910e+00        5.860260e+00        1.865302e-01
                  76        9.233545e+00        5.904645e+00        1.892830e-01
                  77        9.337591e+00        5.949229e+00        1.920036e-01
                  78        9.442374e+00        5.994013e+00        1.946948e-01
                  79        9.544980e+00        6.038962e+00        1.973508e-01
                  80        9.647440e+00        6.084068e+00        1.999721e-01
                  81        9.748253e+00        6.129304e+00        2.025553e-01
                  82        9.848040e+00        6.174655e+00        2.050991e-01
                  83        9.947419e+00        6.220110e+00        2.076039e-01
                  84        1.004489e+01        6.265643e+00        2.100664e-01
                  85        1.014179e+01        6.311245e+00        2.124871e-01
                  86        1.023592e+01        6.356881e+00        2.148610e-01
                  87        1.033001e+01        6.402549e+00        2.171904e-01
                  88        1.042116e+01        6.448215e+00        2.194707e-01
                  89        1.051142e+01        6.493869e+00        2.217023e-01
                  90        1.060072e+01        6.539500e+00        2.238858e-01
                  91        1.068756e+01        6.585083e+00        2.260182e-01
                  92        1.077330e+01        6.630608e+00        2.281001e-01
                  93        1.085858e+01        6.676070e+00        2.301333e-01
                  94        1.093979e+01        6.721428e+00        2.321121e-01
                  95        1.101901e+01        6.766666e+00        2.340356e-01
                  96        1.109618e+01        6.811765e+00        2.359031e-01
                  97        1.117194e+01        6.856715e+00        2.377150e-01
                  98        1.124555e+01        6.901500e+00        2.394707e-01
                  99        1.131626e+01        6.946093e+00        2.411681e-01
                 100        1.138543e+01        6.990486e+00        2.428080e-01
                 101        1.145303e+01        7.034670e+00        2.443909e-01
                 102        1.151761e+01        7.078620e+00        2.459151e-01
                 103        1.157915e+01        7.122315e+00        2.473790e-01
                 104        1.163832e+01        7.165738e+00        2.487822e-01
                 105        1.169581e+01        7.208882e+00        2.501258e-01
                 106        1.174948e+01        7.251717e+00        2.514074e-01
                 107        1.180215e+01        7.294245e+00        2.526291e-01
                 108        1.185168e+01        7.336443e+00        2.537898e-01
                 109        1.190019e+01        7.378312e+00        2.548918e-01
                 110        1.194416e+01        7.419820e+00        2.559319e-01
                 111        1.198640e+01        7.460961e+00        2.569115e-01
                 112        1.202621e+01        7.501722e+00        2.578310e-01
                 113        1.206361e+01        7.542092e+00        2.586906e-01
                 114        1.209719e+01        7.582049e+00        2.594888e-01
                 115        1.213051e+01        7.621601e+00        2.602293e-01
                 116        1.216075e+01        7.660732e+00        2.609113e-01
                 117        1.218865e+01        7.699432e+00        2.615357e-01
                 118        1.221423e+01        7.737693e+00        2.621030e-01
                 119        1.223824e+01        7.775513e+00        2.626149e-01
                 120        1.225998e+01        7.812883e+00        2.630719e-01
                 121        1.227951e+01        7.849798e+00        2.634750e-01
                 122        1.229543e+01        7.886237e+00        2.638232e-01
                 123        1.230992e+01        7.922202e+00        2.641183e-01
                 124        1.232302e+01        7.957693e+00        2.643621e-01
                 125        1.233334e+01        7.992698e+00        2.645546e-01
                 126        1.234166e+01        8.027213e+00        2.646969e-01
                 127        1.234801e+01        8.061235e+00        2.647901e-01
                 128        1.235244e+01        8.094760e+00        2.648353e-01
                 129        1.235501e+01        8.127786e+00        2.648334e-01
                 130        1.235507e+01        8.160303e+00        2.647850e-01
                 131        1.235407e+01        8.192317e+00        2.646920e-01
                 132        1.235208e+01        8.223830e+00        2.645560e-01
                 133        1.234774e+01        8.254837e+00        2.643777e-01
                 134        1.234180e+01        8.285337e+00        2.641581e-01
                 135        1.233363e+01        8.315324e+00        2.638980e-01
                 136        1.232469e+01        8.344805e+00        2.635991e-01
                 137        1.231434e+01        8.373779e+00        2.632627e-01
                 138        1.230264e+01        8.402249e+00        2.628899e-01
                 139        1.229035e+01        8.430221e+00        2.624825e-01
                 140        1.227541e+01        8.457687e+00        2.620407e-01
                 141        1.226070e+01        8.484659e+00        2.615666e-01
                 142        1.224417e+01        8.511134e+00        2.610611e-01
                 143        1.222800e+01        8.537126e+00        2.605262e-01
                 144        1.220942e+01        8.562628e+00        2.599621e-01
                 145        1.218919e+01        8.587639e+00        2.593696e-01
                 146        1.216809e+01        8.612163e+00        2.587499e-01
                 147        1.214757e+01        8.636213e+00        2.581050e-01
                 148        1.212629e+01        8.659795e+00        2.574360e-01
                 149        1.210430e+01        8.682912e+00        2.567442e-01
                 150        1.208166e+01        8.705570e+00        2.560304e-01
                 151        1.205841e+01        8.727775e+00        2.552959e-01
                 152        1.203322e+01        8.749521e+00        2.545408e-01
                 153        1.200753e+01        8.770815e+00        2.537663e-01
                 154        1.198281e+01        8.791672e+00        2.529741e-01
                 155        1.195700e+01        8.812094e+00        2.521649e-01
                 156        1.192802e+01        8.832067e+00        2.513383e-01
                 157        1.190158e+01        8.851618e+00        2.504967e-01
                 158        1.187488e+01        8.870753e+00        2.496410e-01
                 159        1.184799e+01        8.889478e+00        2.487722e-01
                 160        1.182095e+01        8.907800e+00        2.478911e-01
                 161        1.179379e+01        8.925725e+00        2.469987e-01
                 162        1.176656e+01        8.943261e+00        2.460957e-01
                 163        1.174212e+01        8.960432e+00        2.451842e-01
                 164        1.171487e+01        8.977227e+00        2.442638e-01
                 165        1.168836e+01        8.993658e+00        2.433354e-01
                 166        1.166193e+01        9.009732e+00        2.423998e-01
                 167        1.163561e+01        9.025456e+00        2.414578e-01
                 168        1.160874e+01        9.040833e+00        2.405096e-01
                 169        1.158274e+01        9.055874e+00        2.395564e-01
                 170        1.155625e+01        9.070582e+00        2.385983e-01
                 171        1.152928e+01        9.084960e+00        2.376358e-01
                 172        1.150327e+01        9.099020e+00        2.366698e-01
                 173        1.147685e+01        9.112765e+00        2.357005e-01
                 174        1.145214e+01        9.126209e+00        2.347291e-01
                 175        1.142706e+01        9.139357e+00        2.337557e-01
                 176        1.140233e+01        9.152215e+00        2.327809e-01
                 177        1.137797e+01        9.164790e+00        2.318051e-01
                 178        1.135399e+01        9.177089e+00        2.308289e-01
                 179        1.133112e+01        9.189122e+00        2.298528e-01
                 180        1.130796e+01        9.200894e+00        2.288771e-01
                 181        1.128523e+01        9.212409e+00        2.279021e-01
                 182        1.126295e+01        9.223676e+00        2.269282e-01
                 183        1.124112e+01        9.234700e+00        2.259558e-01
                 184        1.121904e+01        9.245485e+00        2.249850e-01
                 185        1.119884e+01        9.256044e+00        2.240165e-01
                 186        1.117771e+01        9.266375e+00        2.230502e-01
                 187        1.115706e+01        9.276486e+00        2.220864e-01
                 188        1.113689e+01        9.286381e+00        2.211255e-01
                 189        1.111792e+01        9.296072e+00        2.201677e-01
                 190        1.109944e+01        9.305563e+00        2.192135e-01
                 191        1.108145e+01        9.314861e+00        2.182628e-01
                 192        1.106325e+01        9.323967e+00        2.173159e-01
                 193        1.104695e+01        9.332895e+00        2.163732e-01
                 194        1.103185e+01        9.341652e+00        2.154351e-01
                 195        1.101582e+01        9.350238e+00        2.145013e-01
                 196        1.099957e+01        9.358653e+00        2.135719e-01
                 197        1.098450e+01        9.366906e+00        2.126471e-01
                 198        1.097060e+01        9.375005e+00        2.117274e-01
                 199        1.095647e+01        9.382952e+00        2.108125e-01
                 200        1.094351e+01        9.390755e+00        2.099028e-01
                 201        1.093028e+01        9.398414e+00        2.089982e-01
                 202        1.091750e+01        9.405935e+00        2.080988e-01
                 203        1.090585e+01        9.413323e+00        2.072048e-01
                 204        1.089464e+01        9.420585e+00        2.063163e-01
                 205        1.088383e+01        9.427723e+00        2.054333e-01
                 206        1.087272e+01        9.434737e+00        2.045558e-01
                 207        1.086201e+01        9.441632e+00        2.036838e-01
                 208        1.085026e+01        9.448404e+00        2.028171e-01
                 209        1.084029e+01        9.455064e+00        2.019560e-01
                 210        1.082997e+01        9.461611e+00        2.011004e-01
                 211        1.082070e+01        9.468052e+00        2.002504e-01
                 212        1.081035e+01        9.474384e+00        1.994059e-01
                 213        1.080243e+01        9.480619e+00        1.985672e-01
                 214        1.079341e+01        9.486754e+00        1.977340e-01
                 215        1.078538e+01        9.492794e+00        1.969066e-01
                 216        1.077622e+01        9.498735e+00        1.960846e-01
                 217        1.076873e+01        9.504588e+00        1.952683e-01
                 218        1.076220e+01        9.510357e+00        1.944578e-01
                 219        1.075449e+01        9.516038e+00        1.936528e-01
                 220        1.074771e+01        9.521636e+00        1.928535e-01
                 221        1.074044e+01        9.527151e+00        1.920597e-01
                 222        1.073547e+01        9.532594e+00        1.912716e-01
                 223        1.072857e+01        9.537957e+00        1.904891e-01
                 224        1.072325e+01        9.543249e+00        1.897122e-01
                 225        1.071738e+01        9.548467e+00        1.889408e-01
                 226        1.071095e+01        9.553611e+00        1.881748e-01
                 227        1.070535e+01        9.558685e+00        1.874142e-01
                 228        1.069988e+01        9.563690e+00        1.866590e-01
                 229        1.069380e+01        9.568625e+00        1.859091e-01
                 230        1.068852e+01        9.573494e+00        1.851646e-01
                 231        1.068403e+01        9.578301e+00        1.844254e-01
                 232        1.067820e+01        9.583042e+00        1.836914e-01
                 233        1.067243e+01        9.587718e+00        1.829625e-01
                 234        1.066812e+01        9.592335e+00        1.822389e-01
                 235        1.066314e+01        9.596891e+00        1.815203e-01
                 236        1.065818e+01        9.601388e+00        1.808069e-01
                 237        1.065254e+01        9.605824e+00        1.800984e-01
                 238        1.064761e+01        9.610201e+00        1.793948e-01
                 239        1.064268e+01        9.614521e+00        1.786962e-01
                 240        1.063633e+01        9.618778e+00        1.780024e-01
                 241        1.062995e+01        9.622974e+00        1.773132e-01
                 242        1.062425e+01        9.627112e+00        1.766288e-01
                 243        1.061992e+01        9.631197e+00        1.759492e-01
                 244        1.061414e+01        9.635226e+00        1.752742e-01
                 245        1.060829e+01        9.639198e+00        1.746038e-01
                 246        1.060309e+01        9.643116e+00        1.739380e-01
                 247        1.059782e+01        9.646981e+00        1.732767e-01
                 248        1.059247e+01        9.650793e+00        1.726199e-01
                 249        1.058633e+01        9.654551e+00        1.719676e-01
                 250        1.058010e+01        9.658253e+00        1.713195e-01
                 251        1.057447e+01        9.661903e+00        1.706759e-01
                 252        1.056945e+01        9.665504e+00        1.700366e-01
                 253        1.056431e+01        9.669057e+00        1.694016e-01
                 254        1.055764e+01        9.672555e+00        1.687708e-01
                 255        1.055085e+01        9.676000e+00        1.681441e-01
                 256        1.054322e+01        9.679387e+00        1.675214e-01
                 257        1.053687e+01        9.682724e+00        1.669028e-01
                 258        1.052897e+01        9.686004e+00        1.662881e-01
                 259        1.052234e+01        9.689233e+00        1.656774e-01
                 260        1.051697e+01        9.692417e+00        1.650708e-01
                 261        1.051003e+01        9.695549e+00        1.644680e-01
                 262        1.050364e+01        9.698634e+00        1.638692e-01
                 263        1.049638e+01        9.701667e+00        1.632742e-01
                 264        1.048755e+01        9.704644e+00        1.626829e-01
                 265        1.047924e+01        9.707567e+00        1.620953e-01
                 266        1.047077e+01        9.710436e+00        1.615113e-01
                 267        1.046282e+01        9.713254e+00        1.609309e-01
                 268        1.045470e+01        9.716020e+00        1.603542e-01
                 269        1.044640e+01        9.718735e+00        1.597811e-01
                 270        1.043862e+01        9.721402e+00        1.592116e-01
                 271        1.043066e+01        9.724019e+00        1.586456e-01
                 272        1.042040e+01        9.726579e+00        1.580830e-01
                 273        1.041137e+01        9.729087e+00        1.575238e-01
                 274        1.040285e+01        9.731546e+00        1.569681e-01
                 275        1.039416e+01        9.733956e+00        1.564158e-01
                 276        1.038386e+01        9.736311e+00        1.558668e-01
                 277        1.037338e+01        9.738611e+00        1.553211e-01
                 278        1.036343e+01        9.740858e+00        1.547786e-01
                 279        1.035188e+01        9.743048e+00        1.542394e-01
                 280        1.034085e+01        9.745183e+00        1.537033e-01
                 281        1.033035e+01        9.747266e+00        1.531704e-01
                 282        1.031968e+01        9.749295e+00        1.526407e-01
                 283        1.031024e+01        9.751278e+00        1.521142e-01
                 284        1.029922e+01        9.753207e+00        1.515908e-01
                 285        1.028875e+01        9.755086e+00        1.510706e-01
                 286        1.027741e+01        9.756912e+00        1.505534e-01
                 287        1.026520e+01        9.758683e+00        1.500392e-01
                 288        1.025284e+01        9.760399e+00        1.495281e-01
                 289        1.024104e+01        9.762062e+00        1.490199e-01
                 290        1.022768e+01        9.763668e+00        1.485147e-01
                 291        1.021418e+01        9.765216e+00        1.480124e-01
                 292        1.020125e+01        9.766709e+00        1.475130e-01
                 293        1.018819e+01        9.768148e+00        1.470166e-01
                 294        1.017784e+01        9.769541e+00        1.465232e-01
                 295        1.016525e+01        9.770883e+00        1.460326e-01
                 296        1.015326e+01        9.772175e+00        1.455450e-01
