#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        7.646037e+00        7.646037e+00        0.000000e+00
                   2        7.744816e+00        7.695426e+00        3.492385e-02
                   3        7.823350e+00        7.738068e+00        4.188398e-02
                   4        7.794904e+00        7.752277e+00        3.373721e-02
                   5        7.729870e+00        7.747795e+00        2.728578e-02
                   6        7.756516e+00        7.749249e+00        2.277683e-02
                   7        7.817586e+00        7.759011e+00        2.151369e-02
                   8        7.751941e+00        7.758128e+00        1.884262e-02
                   9        7.784989e+00        7.761112e+00        1.698373e-02
                  10        7.760157e+00        7.761017e+00        1.528563e-02
                  11        7.722177e+00        7.757486e+00        1.429803e-02
                  12        7.695134e+00        7.752290e+00        1.401891e-02
                  13        7.865670e+00        7.761011e+00        1.541662e-02
                  14        7.731772e+00        7.758923e+00        1.445620e-02
                  15        7.699300e+00        7.754948e+00        1.402827e-02
                  16        7.820160e+00        7.759024e+00        1.373082e-02
                  17        7.734389e+00        7.757575e+00        1.299937e-02
                  18        7.737654e+00        7.756468e+00        1.232420e-02
                  19        7.758875e+00        7.756595e+00        1.167621e-02
                  20        7.740741e+00        7.755802e+00        1.111928e-02
