#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -5.46999            -5.46999                   0
                   2            -5.44323            -5.45661          0.00945847
                   3            -5.44714            -5.45345          0.00681208
                   4            -5.45626            -5.45415          0.00514498
                   5            -5.45009            -5.45334          0.00417964
                   6            -5.47621            -5.45715          0.00492328
                   7            -5.45467             -5.4568           0.0042327
                   8            -5.46627            -5.45798           0.0038656
                   9            -5.44757            -5.45683          0.00360502
                  10            -5.44121            -5.45526          0.00356663
                  11            -5.46125            -5.45581          0.00328359
                  12            -5.47443            -5.45736          0.00335663
                  13            -5.46412            -5.45788          0.00313842
                  14            -5.44099            -5.45667          0.00313744
                  15            -5.45067            -5.45627          0.00295372
                  16             -5.4601            -5.45651          0.00277879
                  17            -5.48363            -5.45811           0.0030388
                  18            -5.46461            -5.45847          0.00289136
                  19            -5.44306            -5.45766          0.00285057
                  20            -5.46107            -5.45783          0.00271313
