#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        1.171969e+00        1.171969e+00        0.000000e+00
                   2        1.332220e+00        1.252095e+00        5.665756e-02
                   3        1.297616e+00        1.267268e+00        3.975172e-02
                   4        1.250523e+00        1.263082e+00        3.003342e-02
                   5        1.316209e+00        1.273707e+00        2.583801e-02
                   6        1.151075e+00        1.253269e+00        2.849088e-02
                   7        1.257680e+00        1.253899e+00        2.442772e-02
                   8        1.238792e+00        1.252010e+00        2.144712e-02
                   9        1.336355e+00        1.261382e+00        2.101213e-02
                  10        1.342326e+00        1.269476e+00        2.041052e-02
                  11        1.227121e+00        1.265626e+00        1.891474e-02
                  12        1.194949e+00        1.259736e+00        1.823245e-02
                  13        1.252893e+00        1.259210e+00        1.683755e-02
                  14        1.338632e+00        1.264883e+00        1.656302e-02
                  15        1.256230e+00        1.264306e+00        1.546886e-02
                  16        1.232424e+00        1.262313e+00        1.462984e-02
                  17        1.142354e+00        1.255257e+00        1.537715e-02
                  18        1.252860e+00        1.255124e+00        1.452344e-02
                  19        1.344153e+00        1.259810e+00        1.449525e-02
                  20        1.230784e+00        1.258358e+00        1.384294e-02
