#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1       -3.806780e+00       -3.806780e+00        0.000000e+00
                   2       -3.780027e+00       -3.793404e+00        9.458467e-03
                   3       -3.783934e+00       -3.790247e+00        6.812083e-03
                   4       -3.793050e+00       -3.790948e+00        5.144979e-03
                   5       -3.786885e+00       -3.790135e+00        4.179645e-03
                   6       -3.813005e+00       -3.793947e+00        4.923276e-03
                   7       -3.791465e+00       -3.793592e+00        4.232703e-03
                   8       -3.803062e+00       -3.794776e+00        3.865598e-03
                   9       -3.784365e+00       -3.793619e+00        3.605020e-03
                  10       -3.778006e+00       -3.792058e+00        3.566631e-03
                  11       -3.798040e+00       -3.792602e+00        3.283585e-03
                  12       -3.811222e+00       -3.794153e+00        3.356634e-03
                  13       -3.800911e+00       -3.794673e+00        3.138421e-03
                  14       -3.777788e+00       -3.793467e+00        3.137445e-03
                  15       -3.787462e+00       -3.793067e+00        2.953716e-03
                  16       -3.796896e+00       -3.793306e+00        2.778787e-03
                  17       -3.820421e+00       -3.794901e+00        3.038795e-03
                  18       -3.801402e+00       -3.795262e+00        2.891358e-03
                  19       -3.779859e+00       -3.794452e+00        2.850573e-03
                  20       -3.797860e+00       -3.794622e+00        2.713134e-03
