#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1             1.66321             1.66321                   0
                   2             1.66321             1.66321                   0
                   3             1.66321             1.66321                   0
                   4             1.66321             1.66321                   0
                   5             1.66321             1.66321          1.3328e-08
                   6             1.66321             1.66321                   0
                   7             1.66321             1.66321         7.96501e-09
                   8             1.66321             1.66321                   0
                   9             1.66321             1.66321                   0
                  10             1.66321             1.66321         1.15424e-08
                  11             1.66321             1.66321         6.35388e-09
                  12             1.66321             1.66321         6.08337e-09
                  13             1.66321             1.66321         8.26568e-09
                  14             1.66321             1.66321         7.96501e-09
                  15             1.66321             1.66321         7.69493e-09
                  16             1.66321             1.66321         7.45058e-09
                  17             1.66321             1.66321         7.22812e-09
                  18             1.66321             1.66321         7.02447e-09
                  19             1.66321             1.66321         6.83712e-09
                  20             1.66321             1.66321         9.42432e-09
