           beta           mean          sigma           E           errE
         18.194        0.58771       0.608308      -0.301802     0.00186454
        18.2849       0.584444       0.599171      -0.294391     0.00202385
        18.3764       0.578655       0.605358       -0.29056     0.00201153
        18.4682       0.585295       0.608957      -0.295547     0.00198669
        18.5606       0.594636       0.613823       -0.31056      0.0020025
        18.6534         0.5974       0.612842      -0.312622     0.00188589
        18.7467       0.588362       0.605556      -0.299409     0.00196212
        18.8404       0.582281       0.603355      -0.289363     0.00195642
        18.9346        0.58437       0.597681       -0.29205     0.00189979
        19.0293       0.589134       0.607009      -0.302117     0.00178844
        19.1244       0.586984       0.606766      -0.299328     0.00182263
          19.22       0.586433       0.614311      -0.301732     0.00176656
        19.3161       0.583776       0.613829      -0.297734     0.00215774
        19.4127       0.577151       0.612815      -0.287452     0.00218812
        19.5098        0.57477       0.610146       -0.28653     0.00193442
        19.6073       0.569608       0.617161      -0.280537     0.00212133
        19.7054       0.565147       0.612652      -0.271499     0.00205301
        19.8039       0.570214       0.620513      -0.281172     0.00201214
        19.9029       0.566665       0.623927      -0.279984      0.0021725
        20.0024       0.566265       0.633234      -0.284924     0.00219412
        20.1024       0.565112       0.639999      -0.285988     0.00219532
        20.2029       0.571668       0.631231      -0.286801     0.00226645
         20.304       0.567798       0.629805      -0.284773     0.00211112
        20.4055       0.570206       0.632765      -0.286508     0.00200875
        20.5075       0.567321        0.63736      -0.283242     0.00212557
          20.61       0.576463       0.643207      -0.298837     0.00199858
        20.7131       0.572143       0.644149      -0.293637     0.00219868
        20.8167       0.575428       0.634892      -0.291824     0.00211721
        20.9207       0.571876       0.628748      -0.286027     0.00200955
        21.0253       0.579784       0.626985      -0.293846     0.00224085
        21.1305       0.573516       0.635087      -0.289061     0.00200945
        21.2361       0.570595       0.634163      -0.284565     0.00198422
        21.3423       0.571788        0.62839      -0.287436     0.00212311
         21.449       0.580377       0.634978      -0.301974       0.001939
        21.5563       0.585783       0.643366      -0.305267      0.0019006
         21.664       0.591952       0.651641      -0.313841     0.00185604
        21.7724       0.590193       0.654585      -0.314234     0.00193136
        21.8812       0.596455       0.658664      -0.324292     0.00175007
        21.9906       0.605205       0.662432      -0.331214     0.00201341
        22.1006       0.606463       0.656347      -0.330001     0.00197802
        22.2111       0.601084       0.653063      -0.325538     0.00168065
        22.4338       0.598577        0.65291      -0.324016     0.00195259
        22.5459       0.602408       0.648969      -0.327432       0.001778
        22.7719       0.600244       0.648143      -0.322133     0.00185859
        22.8858       0.591759       0.655877       -0.31757     0.00198078
        23.0002       0.593726       0.653175      -0.317967     0.00174879
        23.1152       0.590661       0.647355      -0.311131     0.00189254
        23.2308       0.589059       0.653435      -0.314333      0.0019438
         23.347       0.590193        0.65093      -0.315128     0.00193127
         23.581       0.590194       0.652929      -0.312481     0.00217984
        23.6989       0.584464       0.659564      -0.310715     0.00175993
        23.8174        0.57843       0.661738      -0.305347     0.00196559
        23.9365       0.586059       0.658304      -0.311587     0.00181007
        24.0562       0.593207       0.654339      -0.318232     0.00181444
        24.1765       0.598486       0.649957      -0.324688     0.00180193
        24.2974       0.599212       0.653141      -0.320268     0.00171461
        24.4188        0.59828       0.657153      -0.322428     0.00198617
        24.5409       0.606901       0.657449      -0.330145     0.00163341
        24.6636       0.598301        0.65932      -0.324974     0.00178714
         24.787       0.600448       0.666689      -0.328397     0.00227106
        24.9109       0.606438         0.6717      -0.332135     0.00202255
        25.0354       0.615092       0.678146       -0.34114     0.00166773
        25.1606       0.622773       0.685285      -0.349164     0.00194139
        25.2864       0.621929       0.678987      -0.346276     0.00188343
        25.4129       0.631481       0.676573      -0.354855     0.00174447
        25.5399       0.621672       0.673894      -0.347574     0.00190609
         25.796       0.617221       0.670381       -0.34059     0.00183957
        25.9249       0.614698        0.66051      -0.340311     0.00181549
        26.0546       0.613956       0.668634      -0.341542      0.0017358
        26.1848       0.620063       0.659919      -0.344494     0.00166672
        26.3158       0.615623       0.664027      -0.343485     0.00189078
        26.4473       0.616813       0.673539      -0.341867      0.0018889
        26.5796       0.620092       0.677778       -0.34623     0.00175561
        26.7125       0.610966        0.67033      -0.334661     0.00167326
         26.846       0.618559        0.67575      -0.343533     0.00174358
        27.1152       0.616665       0.671417      -0.341362     0.00185555
        27.2507       0.617702       0.680442      -0.348837     0.00176123
         27.387       0.609823       0.682332      -0.333833     0.00185934
        27.5239       0.599861       0.686208      -0.327214     0.00204458
        27.6616        0.59581       0.688376      -0.327458     0.00193097
        27.7999       0.605531       0.694486      -0.329617     0.00190458
        27.9389       0.607595       0.686905      -0.332086     0.00210275
        28.0786       0.617297       0.690599      -0.345839     0.00198992
        28.2189       0.612001       0.695371      -0.335452     0.00185441
          28.36       0.621268       0.696684      -0.343764     0.00182089
        28.5018       0.628008       0.702415      -0.345998     0.00200725
        28.6444       0.628827       0.711258      -0.347709     0.00197602
        28.7876       0.635865       0.709966      -0.352185      0.0019169
        28.9315       0.627642        0.70515      -0.346129      0.0021981
        29.0762       0.633306       0.711665      -0.351665     0.00201488
