           beta           mean          sigma           E           errE
        155.358       0.798216       0.613336      -0.446109     0.00130315
        156.135       0.791571       0.609265      -0.443853    0.000980912
        156.916       0.782667       0.609489      -0.442189     0.00100944
          157.7       0.778249       0.607364      -0.441235     0.00118061
        158.489       0.782419       0.605312      -0.444125     0.00116834
        159.281        0.78762       0.613927      -0.443654     0.00113666
        160.078       0.787906       0.621711      -0.445516     0.00104933
        161.682        0.79033       0.618889      -0.446698     0.00123899
        162.491       0.791896       0.617414      -0.442463     0.00125577
        163.303       0.790084       0.611181      -0.443655     0.00129789
         164.12       0.796281       0.603864      -0.442038     0.00120321
         164.94       0.797364       0.611808      -0.445514     0.00122941
        166.594       0.796965       0.612561      -0.444713     0.00128656
        167.427       0.805328       0.603208      -0.443774     0.00110751
        168.264       0.809138        0.60839      -0.442706     0.00130104
        169.105       0.812922       0.599509       -0.44151      0.0012818
        169.951       0.813679       0.594125      -0.440706     0.00138595
        170.801       0.819708       0.602887      -0.440639     0.00131472
        171.655       0.821188       0.600359      -0.440541     0.00130829
        172.513        0.81259       0.590809      -0.439968     0.00125575
        173.375       0.811364       0.592487      -0.439072     0.00128198
        174.242       0.810984       0.594593      -0.439289     0.00124699
        175.113       0.813061       0.593069      -0.440394      0.0014239
        177.753       0.812568       0.591612       -0.44086     0.00131006
        181.335       0.811832       0.591565      -0.438964     0.00132068
        182.242       0.803668       0.591699      -0.440134     0.00135853
        184.069       0.806036       0.593579      -0.439891     0.00134482
        184.989       0.805621        0.59844       -0.44165     0.00104765
        185.914       0.797403       0.594577      -0.440448     0.00126288
        187.778       0.799287       0.595298       -0.44008     0.00119186
        188.717       0.804122       0.597816      -0.441268     0.00127553
         189.66       0.811609       0.601488      -0.444222     0.00119085
        190.609       0.806526       0.603439      -0.441648     0.00128284
        191.562       0.804359        0.60076      -0.444007     0.00132136
        194.449       0.806911       0.599136      -0.442817     0.00146788
        195.422       0.809158       0.606993       -0.44435     0.00134757
        196.399       0.816861       0.609617      -0.444307     0.00131385
        197.381       0.820738       0.604545      -0.442393     0.00117534
        198.368       0.815059         0.6043      -0.444049     0.00133519
        200.356       0.810727       0.607067      -0.442706     0.00121162
        201.358       0.804697       0.597217      -0.440748     0.00124509
        202.365       0.796308       0.596796      -0.441616     0.00126574
        203.377       0.794871       0.601607      -0.444238     0.00117109
        204.394        0.79279        0.60601      -0.443752     0.00114095
        206.443       0.789944        0.60203      -0.442732     0.00111661
        207.475       0.792762        0.59581       -0.44017     0.00117037
        208.512       0.786911       0.591418      -0.439776     0.00129662
        209.555       0.780912       0.593966      -0.440181     0.00108886
        210.603        0.78712       0.589907      -0.439199     0.00143755
        211.656       0.795301       0.592248      -0.440035     0.00133474
        212.714       0.804307       0.598087      -0.440266     0.00126011
        213.777       0.800081       0.601646      -0.444746     0.00113722
        214.846       0.790151       0.597523      -0.441928      0.0013044
        215.921       0.793197       0.601388      -0.441385     0.00112041
            217       0.792448       0.611148       -0.44311     0.00129525
        218.085       0.791537       0.620216      -0.444788     0.00123942
        219.176       0.785317       0.620042      -0.444197    0.000999205
        221.373       0.781598       0.620128      -0.441872     0.00129409
         222.48        0.78162        0.62776      -0.441862     0.00129069
         224.71       0.782948          0.632      -0.441286     0.00124902
        225.834       0.784089        0.64097       -0.43757      0.0013568
        226.963       0.792584       0.638314      -0.440352     0.00126878
        228.098       0.793084       0.631004      -0.442302     0.00126133
        229.238       0.787251       0.637847      -0.440738     0.00130281
        231.536       0.790128       0.633366      -0.442402     0.00107797
        233.857       0.785798       0.635314      -0.441252     0.00128149
        236.202       0.785779       0.639376       -0.43788     0.00125032
         238.57       0.786866        0.64256      -0.438769     0.00129433
        239.763       0.792685       0.633174      -0.443048     0.00117848
        240.961       0.790601       0.628837      -0.441926     0.00125266
        242.166       0.799351       0.624573      -0.442036     0.00126203
        243.377       0.804105       0.618548      -0.444102     0.00120394
        244.594       0.810937       0.613168       -0.44214     0.00150344
        245.817       0.816536       0.605801      -0.443518     0.00113269
        247.046       0.817932       0.606261      -0.443373     0.00124629
        248.281       0.810965       0.613487      -0.443373     0.00122782
        249.523       0.815438       0.611056      -0.442009     0.00121511
         250.77       0.806165       0.605004      -0.443003     0.00122924
        252.024       0.816104       0.614915      -0.445877     0.00133838
        253.284       0.815142       0.617564      -0.443213     0.00114781
        254.551       0.811817       0.616884      -0.443417      0.0012315
        255.823       0.808126       0.616786      -0.444176     0.00117066
        258.388       0.811012       0.615553      -0.443898     0.00111781
         259.68       0.811335       0.616307      -0.443905     0.00121948
        260.978       0.814281       0.623451      -0.442488     0.00111338
        262.283       0.812672       0.614928      -0.443708     0.00114858
        264.913       0.813931       0.616191      -0.443195     0.00122741
        266.237       0.809436       0.609335      -0.443862     0.00110631
        267.568       0.800391       0.614554      -0.443681     0.00118713
        268.906       0.802923       0.621025       -0.44518     0.00111818
