 beta mean sigma E errE acc
        268.906       0.804169       0.625035      -0.443551     0.00142564              1
        268.906       0.797485       0.627857      -0.443793     0.00124394              1
        268.906       0.799796        0.63682      -0.440793     0.00128101              1
        268.906        0.80942       0.642556      -0.439627     0.00159169              1
        268.906       0.806914       0.635015      -0.441707     0.00130773              1
        268.906       0.807805       0.642542      -0.441425     0.00141677              1
        268.906       0.807805       0.642542      -0.441425     0.00141677       0.857143
        268.906       0.810275        0.63487      -0.439661     0.00158821          0.875
        268.906        0.81684       0.626715      -0.441605     0.00122834       0.888889
        268.906       0.810492        0.61681      -0.441087     0.00132616            0.9
        268.906       0.804662       0.614877      -0.441838      0.0012253       0.909091
        268.906       0.805856       0.610163      -0.444083     0.00121151       0.916667
        268.906       0.807427       0.615246      -0.443035     0.00138017       0.923077
        268.906       0.798368       0.606767      -0.445266     0.00136432       0.928571
        268.906       0.802422       0.615523      -0.446386     0.00120084       0.933333
        268.906       0.798171       0.613209      -0.443575    0.000982504         0.9375
        268.906       0.797183       0.605456      -0.442693     0.00118953       0.941176
        268.906       0.788594       0.613501      -0.443485     0.00105887       0.944444
        268.906       0.780908       0.616304      -0.444315     0.00111283       0.947368
        268.906       0.787368       0.612484      -0.444494     0.00111014           0.95
        268.906       0.787368       0.612484      -0.444494     0.00111014       0.904762
        268.906        0.79357       0.609186      -0.443115     0.00108974       0.909091
        268.906        0.78882       0.604971      -0.441359     0.00121221       0.913043
        268.906       0.787763       0.610687      -0.444432     0.00123835       0.916667
        268.906       0.787763       0.610687      -0.444432     0.00123835           0.88
        268.906       0.793248       0.612518      -0.444871     0.00116452       0.884615
        268.906       0.793316       0.615935      -0.443993    0.000982069       0.888889
        268.906       0.800227       0.610574      -0.446214     0.00111977       0.892857
        268.906       0.802104        0.60529      -0.443442     0.00110932       0.896552
        268.906       0.795109       0.608406      -0.445235     0.00113604            0.9
        268.906       0.795109       0.608406      -0.445235     0.00113604       0.870968
        268.906       0.785428        0.61685      -0.444311     0.00124917          0.875
        268.906       0.785428        0.61685      -0.444311     0.00124917       0.848485
        268.906       0.784244       0.609456      -0.441965     0.00113997       0.852941
        268.906       0.774382       0.616124      -0.441141     0.00117593       0.857143
        268.906       0.765178       0.606837      -0.440508     0.00118475       0.861111
        268.906       0.773773       0.616252      -0.441874     0.00100724       0.864865
        268.906       0.769003       0.619953      -0.441943     0.00122742       0.868421
        268.906       0.769003       0.619953      -0.441943     0.00122742       0.846154
        268.906       0.774445       0.622327      -0.441588      0.0012163           0.85
        268.906       0.766695       0.632072        -0.4398     0.00117651       0.853659
        268.906       0.757451       0.634936      -0.435587     0.00110353       0.857143
        268.906       0.751443       0.633322      -0.434091     0.00132422       0.860465
        268.906       0.759862       0.624697      -0.438906     0.00111032       0.863636
        268.906       0.768476       0.618704      -0.440325     0.00114287       0.866667
        268.906       0.770149       0.612982      -0.440793     0.00119586       0.869565
        268.906       0.779663       0.605442      -0.442475      0.0011076        0.87234
        268.906       0.776241       0.603002      -0.441637     0.00113746          0.875
        268.906       0.776241       0.603002      -0.441637     0.00113746       0.857143
        268.906       0.776241       0.603002      -0.441637     0.00113746           0.84
        268.906        0.78248       0.612784      -0.443208     0.00103974       0.843137
        268.906        0.78248       0.612784      -0.443208     0.00103974       0.826923
        268.906        0.79196       0.612164      -0.444469     0.00109835       0.830189
        268.906       0.793687       0.613906      -0.443249     0.00109705       0.833333
        268.906       0.801472        0.61866      -0.446864     0.00115774       0.836364
        268.906       0.801472        0.61866      -0.446864     0.00115774       0.821429
        268.906       0.801472        0.61866      -0.446864     0.00115774       0.807018
        268.906       0.801472        0.61866      -0.446864     0.00115774       0.793103
        268.906       0.811441       0.625542      -0.444004     0.00119479        0.79661
        268.906       0.802065       0.620567      -0.443506     0.00130039            0.8
        268.906       0.809397       0.624692      -0.444212     0.00135225       0.803279
        268.906       0.807898       0.626207      -0.443287     0.00120667       0.806452
        268.906       0.812482       0.627794      -0.443334     0.00133297       0.809524
        268.906       0.820579       0.622806      -0.443678     0.00118203         0.8125
        268.906       0.817252       0.631795      -0.439099     0.00149873       0.815385
        268.906       0.822753       0.637048      -0.443172     0.00134251       0.818182
        268.906       0.822753       0.637048      -0.443172     0.00134251        0.80597
        268.906       0.822753       0.637048      -0.443172     0.00134251       0.794118
        268.906       0.814959       0.640517      -0.439186     0.00137619       0.797101
        268.906       0.815049       0.632674      -0.440483     0.00138646            0.8
        268.906       0.815286       0.638857      -0.439646     0.00144878       0.802817
        268.906       0.819734       0.629644      -0.442346     0.00138438       0.805556
        268.906        0.81606       0.622981      -0.442096      0.0013114       0.808219
        268.906       0.819416       0.617604       -0.44206     0.00131419       0.810811
        268.906       0.810778       0.619323      -0.442267     0.00131576       0.813333
        268.906       0.814474       0.610117      -0.443831     0.00124367       0.815789
        268.906       0.805369       0.600678      -0.443905    0.000993923       0.818182
