#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        1.083534e+00        1.083534e+00        0.000000e+00
                   2        1.112978e+00        1.098256e+00        1.041004e-02
                   3        1.107580e+00        1.101364e+00        7.389404e-03
                   4        1.106842e+00        1.102733e+00        5.667527e-03
                   5        1.128415e+00        1.107870e+00        6.454691e-03
                   6        1.108347e+00        1.107949e+00        5.379400e-03
                   7        1.117353e+00        1.109293e+00        4.775718e-03
                   8        1.102521e+00        1.108446e+00        4.253104e-03
                   9        1.107965e+00        1.108393e+00        3.780874e-03
                  10        1.086848e+00        1.106238e+00        3.969431e-03
                  11        1.118778e+00        1.107378e+00        3.768714e-03
                  12        1.097271e+00        1.106536e+00        3.547528e-03
                  13        1.095554e+00        1.105691e+00        3.373720e-03
                  14        1.137224e+00        1.107944e+00        3.811115e-03
                  15        1.115759e+00        1.108465e+00        3.592476e-03
                  16        1.093797e+00        1.107548e+00        3.482943e-03
                  17        1.139244e+00        1.109412e+00        3.744001e-03
                  18        1.103742e+00        1.109097e+00        3.549227e-03
                  19        1.099910e+00        1.108614e+00        3.395204e-03
                  20        1.112422e+00        1.108804e+00        3.230778e-03
