#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        1.255408e+00        1.255408e+00        0.000000e+00
                   2        1.245312e+00        1.250360e+00        3.569641e-03
                   3        1.218544e+00        1.239755e+00        8.980156e-03
                   4        1.209940e+00        1.232301e+00        9.328958e-03
                   5        1.208287e+00        1.227498e+00        8.611193e-03
                   6        1.236630e+00        1.229020e+00        7.309248e-03
                   7        1.209070e+00        1.226170e+00        6.798041e-03
                   8        1.201614e+00        1.223100e+00        6.605035e-03
                   9        1.207616e+00        1.221380e+00        6.091101e-03
                  10        1.234474e+00        1.222689e+00        5.620963e-03
                  11        1.267707e+00        1.226782e+00        6.429441e-03
                  12        1.265044e+00        1.229970e+00        6.637379e-03
                  13        1.286880e+00        1.234348e+00        7.431516e-03
                  14        1.216586e+00        1.233079e+00        7.008150e-03
                  15        1.204895e+00        1.231200e+00        6.788144e-03
                  16        1.190915e+00        1.228683e+00        6.814859e-03
                  17        1.206258e+00        1.227363e+00        6.540402e-03
                  18        1.260355e+00        1.229196e+00        6.428741e-03
                  19        1.270992e+00        1.231396e+00        6.455779e-03
                  20        1.245306e+00        1.232092e+00        6.170338e-03
