#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1             1.88311             1.88311                   0
                   2             1.86797             1.87554          0.00535446
                   3             1.82782             1.85963           0.0134702
                   4             1.81491             1.84845           0.0139934
                   5             1.81243             1.84125           0.0129168
                   6             1.85494             1.84353           0.0109639
                   7              1.8136             1.83926           0.0101971
                   8             1.80242             1.83465          0.00990755
                   9             1.81142             1.83207          0.00913665
                  10             1.85171             1.83403          0.00843144
                  11             1.90156             1.84017          0.00964416
                  12             1.89757             1.84496          0.00995607
                  13             1.93032             1.85152           0.0111473
                  14             1.82488             1.84962           0.0105122
                  15             1.80734              1.8468           0.0101822
                  16             1.78637             1.84302           0.0102223
                  17             1.80939             1.84105           0.0098106
                  18             1.89053             1.84379          0.00964311
                  19             1.90649             1.84709          0.00968367
                  20             1.86796             1.84814          0.00925551
