           beta           mean          sigma           E           errE
            180       0.673069       0.597642      -0.384664     0.00125822
            181       0.680082       0.588499      -0.388026     0.00135552
            183       0.683441       0.590524      -0.392128     0.00148951
            185       0.685286       0.589137      -0.392776     0.00147277
            186        0.69341       0.598662      -0.400728     0.00122417
            187       0.693031       0.602271      -0.402557     0.00143133
            188       0.693628       0.597887      -0.401797     0.00134909
            189       0.701026       0.603383      -0.407988     0.00116268
            191       0.705756       0.606624      -0.410465      0.0012604
            192       0.705553       0.603928      -0.411492     0.00125027
            193       0.698569       0.598009       -0.40615     0.00109894
            194         0.7043       0.603897      -0.410387     0.00118397
            195       0.711806       0.603448      -0.415383     0.00126475
            197       0.711436       0.605633      -0.415376     0.00124433
            199       0.707382       0.606714      -0.413482     0.00107537
            200       0.716968        0.61407       -0.41789     0.00113305
            201       0.726424       0.609366       -0.42235     0.00134928
            202       0.722455       0.601193      -0.422379     0.00115652
            203       0.732361       0.609728      -0.428061     0.00130685
            205       0.732651       0.606706      -0.427653     0.00115878
            206       0.732865       0.603165      -0.426168     0.00111633
            208       0.732996       0.600534      -0.425701     0.00109223
            210       0.737618       0.599697      -0.427652     0.00119228
            211       0.737941       0.596538      -0.428737     0.00125273
            212         0.7389       0.589363       -0.42584     0.00127743
            214       0.740367        0.59352      -0.427099     0.00140954
            215       0.745393       0.596032      -0.431078     0.00112808
            216       0.755177       0.592266      -0.431023     0.00118039
            217       0.760317       0.596369      -0.435852     0.00125083
            218       0.766891       0.605618      -0.438803      0.0010666
            220       0.764894       0.610513      -0.441347     0.00113279
            221       0.773254       0.608314      -0.441263     0.00123115
            222       0.777368       0.609339      -0.441972     0.00124467
            223       0.771677       0.608923      -0.439672      0.0010834
            224       0.765001        0.60921      -0.437589     0.00105668
            225       0.767687       0.615783      -0.441083     0.00114971
            226       0.776529       0.611243       -0.44232     0.00106657
            227       0.775769       0.619126      -0.443905      0.0011296
            231       0.775709       0.618602      -0.442947     0.00102667
            232       0.785034       0.625443      -0.442725     0.00119708
            233        0.78968       0.615503      -0.445314      0.0010474
            234       0.797766       0.620772      -0.443225     0.00112348
            235       0.793723        0.62729       -0.44386     0.00133203
            237       0.794804       0.624533      -0.442781     0.00126988
            238        0.79566       0.620366      -0.443932     0.00115867
            239        0.80328       0.619014      -0.444602     0.00127463
            240       0.811226       0.609818      -0.445182     0.00120733
            241       0.813379       0.614665      -0.443669     0.00111888
            242       0.808161       0.607976      -0.443285     0.00129132
            243       0.808347       0.601252      -0.442245     0.00107394
            244        0.80585       0.599897       -0.44389     0.00114271
            245       0.806307       0.598534      -0.441855     0.00121944
            246       0.805661       0.593159      -0.441882     0.00123639
            247       0.807549        0.60204      -0.443103     0.00110547
            248       0.808822       0.596241       -0.44259     0.00122798
            249       0.814622       0.590664      -0.439146     0.00125487
            250       0.822102       0.593349      -0.440433     0.00143704
            251        0.82625       0.601935      -0.440934     0.00134939
            253       0.830142       0.603882      -0.440925     0.00128107
            255       0.826124        0.60509      -0.439919     0.00124034
            257         0.8236       0.601704      -0.439986      0.0012876
            258        0.81381       0.609826      -0.443396     0.00127719
            259       0.815111       0.605855      -0.442448     0.00132127
            260       0.822932       0.613834        -0.4429      0.0014355
            263       0.821833        0.61171      -0.443075     0.00125982
            265       0.820675        0.61368      -0.443093     0.00124798
            266       0.826427       0.603959      -0.439783     0.00127616
            267       0.831178       0.597992       -0.43861      0.0013296
            268       0.833852       0.589055      -0.433691     0.00150157
            269       0.824724       0.597681      -0.440516     0.00124971
            270       0.823478       0.603451       -0.44012     0.00127719
            271       0.816298       0.608238      -0.441709      0.0012611
            273       0.814822       0.606649      -0.443585     0.00112217
            275       0.811206       0.604704      -0.443853     0.00125953
            276       0.818309       0.611994      -0.443823     0.00142307
            277       0.808543       0.602485      -0.443413     0.00130058
            278       0.808861       0.608008      -0.445857     0.00114724
            279       0.812693       0.614986      -0.444015     0.00118853
            281       0.815828       0.617392       -0.44429     0.00123337
            282       0.810898       0.623052      -0.446016     0.00112378
            286       0.813039       0.625348      -0.443879     0.00145983
            287       0.816118       0.619239       -0.44404     0.00140233
            289       0.815244        0.62132      -0.444832     0.00144364
            290       0.806792       0.627974      -0.442525     0.00139138
            291       0.808443       0.637675       -0.44122     0.00135192
            293       0.805972       0.636935      -0.440698     0.00139294
            294       0.809109       0.641625      -0.438418     0.00128704
            295       0.815504       0.641122      -0.435759     0.00153143
            296       0.820221       0.633766      -0.437518     0.00150084
            297       0.825732        0.63265      -0.436787     0.00125326
            298       0.827778       0.623993      -0.440368     0.00155208
            299        0.81971       0.620041      -0.441154     0.00125528
            300       0.812827       0.610118      -0.442605     0.00127428
            301       0.822497       0.604197      -0.442367     0.00124709
