#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1        1.392033e+00        1.392033e+00        0.000000e+00
                   2        1.391998e+00        1.392015e+00        1.254959e-05
                   3        1.392079e+00        1.392037e+00        1.930968e-05
                   4        1.392111e+00        1.392055e+00        2.167803e-05
                   5        1.392023e+00        1.392049e+00        1.825128e-05
                   6        1.391935e+00        1.392030e+00        2.305812e-05
                   7        1.391886e+00        1.392009e+00        2.740175e-05
                   8        1.391955e+00        1.392003e+00        2.479892e-05
                   9        1.392042e+00        1.392007e+00        2.242434e-05
                  10        1.392129e+00        1.392019e+00        2.324331e-05
                  11        1.392228e+00        1.392038e+00        2.782457e-05
                  12        1.392245e+00        1.392055e+00        3.037910e-05
                  13        1.392188e+00        1.392066e+00        2.971402e-05
                  14        1.392123e+00        1.392070e+00        2.786873e-05
                  15        1.392127e+00        1.392074e+00        2.627192e-05
                  16        1.392103e+00        1.392075e+00        2.469393e-05
                  17        1.392063e+00        1.392075e+00        2.325286e-05
                  18        1.391929e+00        1.392067e+00        2.332238e-05
                  19        1.391818e+00        1.392053e+00        2.548909e-05
                  20        1.391917e+00        1.392047e+00        2.510536e-05
                  21        1.391938e+00        1.392041e+00        2.443479e-05
                  22        1.391936e+00        1.392037e+00        2.379264e-05
                  23        1.391980e+00        1.392034e+00        2.288437e-05
                  24        1.392173e+00        1.392040e+00        2.264916e-05
                  25        1.392244e+00        1.392048e+00        2.317123e-05
                  26        1.392181e+00        1.392053e+00        2.283833e-05
                  27        1.392138e+00        1.392056e+00        2.220737e-05
                  28        1.392078e+00        1.392057e+00        2.142753e-05
                  29        1.392038e+00        1.392057e+00        2.069918e-05
                  30        1.391983e+00        1.392054e+00        2.015229e-05
                  31        1.392054e+00        1.392054e+00        1.950222e-05
                  32        1.392183e+00        1.392058e+00        1.930318e-05
                  33        1.392190e+00        1.392062e+00        1.912644e-05
                  34        1.392232e+00        1.392067e+00        1.920306e-05
                  35        1.392201e+00        1.392071e+00        1.903025e-05
                  36        1.392211e+00        1.392075e+00        1.889564e-05
                  37        1.392115e+00        1.392076e+00        1.841588e-05
                  38        1.391975e+00        1.392073e+00        1.812159e-05
                  39        1.392050e+00        1.392073e+00        1.766645e-05
                  40        1.392085e+00        1.392073e+00        1.722735e-05
                  41        1.392090e+00        1.392073e+00        1.681239e-05
                  42        1.392084e+00        1.392074e+00        1.641396e-05
                  43        1.392131e+00        1.392075e+00        1.608647e-05
                  44        1.392053e+00        1.392074e+00        1.572889e-05
                  45        1.392047e+00        1.392074e+00        1.539128e-05
                  46        1.392159e+00        1.392076e+00        1.516738e-05
                  47        1.392176e+00        1.392078e+00        1.499386e-05
                  48        1.392167e+00        1.392080e+00        1.479651e-05
                  49        1.392208e+00        1.392082e+00        1.472343e-05
                  50        1.392193e+00        1.392084e+00        1.459439e-05
