#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1               1.823               1.823                   0
                   2             1.77923             1.80112           0.0154762
                   3             1.78862             1.79695           0.0108641
                   4              1.7927             1.79589           0.0081998
                   5              1.8428             1.80527           0.0106511
                   6             1.86438             1.81512           0.0126352
                   7             1.85395             1.82067           0.0119859
                   8             1.82144             1.82076            0.010488
                   9             1.79074             1.81743          0.00983888
                  10             1.80065             1.81575          0.00899699
                  11             1.83283              1.8173          0.00831192
                  12             1.77726             1.81397          0.00826204
                  13             1.79195             1.81227          0.00779807
                  14             1.80901             1.81204          0.00724456
                  15             1.81479             1.81222          0.00676391
                  16             1.77274             1.80976          0.00677633
                  17             1.80687             1.80959          0.00637985
                  18             1.83517             1.81101          0.00618174
                  19             1.84948             1.81303          0.00617914
                  20              1.8231             1.81354          0.00589064
                  21             1.86314              1.8159          0.00606532
                  22             1.86056             1.81793          0.00611988
                  23              1.8648             1.81997          0.00618378
                  24             1.81048             1.81957          0.00593875
                  25             1.77432             1.81776          0.00597068
                  26             1.77693             1.81619          0.00594393
                  27              1.7602             1.81412          0.00607475
                  28             1.78507             1.81308          0.00594573
                  29             1.78404             1.81208           0.0058244
                  30             1.80872             1.81197          0.00563133
                  31             1.85102             1.81323          0.00558884
                  32             1.85204             1.81444          0.00554425
                  33             1.78663              1.8136          0.00543991
                  34             1.78691             1.81281          0.00533625
                  35              1.7692             1.81156          0.00532726
                  36             1.78616             1.81086          0.00522582
                  37              1.7796             1.81001          0.00515242
                  38             1.80631             1.80992          0.00501775
                  39             1.79197             1.80946          0.00491015
                  40             1.80129             1.80925          0.00479164
                  41             1.79146             1.80882          0.00469438
                  42             1.79855             1.80857          0.00458898
                  43             1.85159             1.80957          0.00459001
                  44             1.86524             1.81084          0.00465679
                  45             1.83719             1.81142          0.00458997
                  46             1.82373             1.81169          0.00449797
                  47             1.83454             1.81218          0.00442846
                  48             1.80587             1.81205          0.00433815
                  49             1.74671             1.81071          0.00444981
                  50             1.72977             1.80909          0.00464598
