#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1           -0.430972           -0.430972                   0
                   2           -0.387234           -0.409103           0.0154636
                   3           -0.396536           -0.404914           0.0108616
                   4           -0.400593           -0.403834          0.00819978
                   5           -0.450774           -0.413222           0.0106556
                   6           -0.472441           -0.423092           0.0126501
                   7           -0.462061           -0.428659           0.0120056
                   8           -0.429487           -0.428762           0.0105053
                   9           -0.398701           -0.425422          0.00985477
                  10           -0.408518           -0.423732          0.00901312
                  11           -0.440598           -0.425265          0.00832315
                  12           -0.385013           -0.421911          0.00827792
                  13           -0.399766           -0.420207          0.00781446
                  14           -0.416885            -0.41997          0.00725989
                  15           -0.422667            -0.42015          0.00677812
                  16            -0.38064            -0.41768          0.00678942
                  17           -0.414808           -0.417511          0.00639215
                  18           -0.443243           -0.418941          0.00619482
                  19           -0.457663           -0.420979          0.00619494
                  20           -0.431179           -0.421489          0.00590615
                  21           -0.471205           -0.423856          0.00608091
                  22            -0.46862           -0.425891          0.00613548
                  23           -0.472818           -0.427931          0.00619868
                  24           -0.418306            -0.42753          0.00595336
                  25           -0.382074           -0.425712          0.00598646
                  26           -0.384753           -0.424137          0.00595989
                  27           -0.368062            -0.42206          0.00609026
                  28           -0.392989           -0.421022          0.00596059
                  29           -0.392005           -0.420021          0.00583843
                  30           -0.416734           -0.419911          0.00564484
                  31            -0.45897           -0.421171           0.0056016
                  32           -0.459856            -0.42238          0.00555547
                  33           -0.394438           -0.421534          0.00545127
                  34           -0.394676           -0.420744          0.00534786
                  35           -0.377001           -0.419494           0.0053391
                  36           -0.393947           -0.418784          0.00523774
                  37           -0.387484           -0.417938          0.00516405
                  38           -0.414334           -0.417843          0.00502902
                  39           -0.399918           -0.417384          0.00492103
                  40           -0.409202           -0.417179          0.00480225
                  41           -0.399371           -0.416745          0.00470473
                  42           -0.406463             -0.4165          0.00459907
                  43           -0.459461           -0.417499          0.00459936
                  44           -0.473188           -0.418765          0.00466573
                  45           -0.445141           -0.419351          0.00459871
                  46            -0.43157           -0.419617          0.00450641
                  47           -0.442362           -0.420101          0.00443644
                  48           -0.413699           -0.419967          0.00434601
                  49           -0.354505           -0.418631          0.00445793
                  50           -0.337576            -0.41701           0.0046542
