#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        4.712673e-02        4.712673e-02        0.000000e+00
                   2        4.845436e-02        4.779055e-02        4.693889e-04
                   3        5.056561e-02        4.871557e-02        8.175353e-04
                   4        4.671482e-02        4.821538e-02        7.507301e-04
                   5        4.920852e-02        4.841401e-02        6.263096e-04
                   6        4.915936e-02        4.853823e-02        5.341023e-04
                   7        5.057084e-02        4.882861e-02        5.308986e-04
                   8        5.397186e-02        4.947151e-02        7.599058e-04
                   9        4.736441e-02        4.923739e-02        7.106230e-04
                  10        4.978489e-02        4.929214e-02        6.416664e-04
                  11        5.389551e-02        4.971063e-02        7.067449e-04
                  12        5.249336e-02        4.994252e-02        6.848377e-04
                  13        4.826792e-02        4.981371e-02        6.441589e-04
                  14        5.072515e-02        4.987881e-02        6.014284e-04
                  15        5.231012e-02        5.004090e-02        5.827656e-04
                  16        4.759537e-02        4.988805e-02        5.660318e-04
                  17        5.159600e-02        4.998852e-02        5.415787e-04
                  18        4.825122e-02        4.989200e-02        5.200201e-04
                  19        5.251477e-02        5.003004e-02        5.106436e-04
                  20        4.833869e-02        4.994548e-02        4.920642e-04
                  21        5.191060e-02        5.003905e-02        4.774476e-04
                  22        5.106547e-02        5.008571e-02        4.580193e-04
                  23        5.269752e-02        5.019927e-02        4.519633e-04
                  24        5.194407e-02        5.027197e-02        4.389396e-04
                  25        4.807478e-02        5.018408e-02        4.300908e-04
                  26        4.769979e-02        5.008853e-02        4.240298e-04
                  27        5.395064e-02        5.023157e-02        4.317780e-04
                  28        4.784601e-02        5.014637e-02        4.246799e-04
                  29        4.669143e-02        5.002724e-02        4.264191e-04
                  30        4.901080e-02        4.999335e-02        4.135489e-04
                  31        5.163467e-02        5.004630e-02        4.035837e-04
                  32        5.070382e-02        5.006685e-02        3.914944e-04
                  33        4.836210e-02        5.001519e-02        3.830241e-04
                  34        5.067218e-02        5.003451e-02        3.722458e-04
                  35        4.897536e-02        5.000425e-02        3.628381e-04
                  36        4.800972e-02        4.994885e-02        3.569642e-04
                  37        4.865904e-02        4.991399e-02        3.490145e-04
                  38        5.065241e-02        4.993342e-02        3.403704e-04
                  39        5.190704e-02        4.998403e-02        3.353838e-04
                  40        4.968762e-02        4.997661e-02        3.270811e-04
                  41        4.798300e-02        4.992799e-02        3.226976e-04
                  42        4.511125e-02        4.981331e-02        3.347736e-04
                  43        4.657148e-02        4.973791e-02        3.353698e-04
                  44        5.494219e-02        4.985619e-02        3.479808e-04
                  45        5.463486e-02        4.996239e-02        3.560827e-04
                  46        5.219970e-02        5.001102e-02        3.516478e-04
                  47        5.133998e-02        5.003930e-02        3.453008e-04
                  48        4.958995e-02        5.002994e-02        3.382339e-04
                  49        4.651026e-02        4.995811e-02        3.388726e-04
                  50        4.741248e-02        4.990720e-02        3.358979e-04
