#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                 145            -7.59377            -7.54385           0.0071215
                 146            -7.59993            -7.54423          0.00708307
                 147            -7.61804            -7.54473          0.00705266
                 148            -7.61961            -7.54524          0.00702313
                 149            -7.61223            -7.54569          0.00699037
                 150            -7.59982            -7.54605          0.00695308
                 151            -7.58945            -7.54634          0.00691297
                 152            -7.59953            -7.54669          0.00687634
                 153            -7.51562            -7.54649           0.0068344
                 154            -7.57996             -7.5467          0.00679347
                 155            -7.57359            -7.54688          0.00675186
                 156            -7.54836            -7.54689          0.00670859
                 157            -7.57545            -7.54707          0.00666832
                 158            -7.62111            -7.54754          0.00664256
                 159            -7.59748            -7.54785          0.00660821
                 160            -7.59809            -7.54816          0.00657436
                 161            -7.51328            -7.54795           0.0065371
                 162            -7.52715            -7.54782            0.006498
                 163            -7.50418            -7.54755          0.00646365
                 164            -7.47526            -7.54711          0.00643925
                 165             -7.6106             -7.5475          0.00641171
                 166            -7.59484            -7.54778          0.00637943
                 167            -7.57049            -7.54792          0.00634268
                 168            -7.60618            -7.54826           0.0063144
                 169            -7.50442              -7.548          0.00628236
                 170            -7.52883            -7.54789          0.00624642
                 171            -7.62193            -7.54832          0.00622487
                 172            -7.56897            -7.54844          0.00618984
                 173            -7.56716            -7.54855          0.00615501
                 174            -7.65874            -7.54919          0.00615212
                 175            -7.60087            -7.54948          0.00612405
                 176            -7.61357            -7.54985          0.00610008
                 177            -7.60954            -7.55018          0.00607493
                 178            -7.59292            -7.55042          0.00604554
                 179            -7.59809            -7.55069          0.00601763
                 180            -7.54586            -7.55066          0.00598426
                 181             -7.5566            -7.55069          0.00595129
                 182            -7.47198            -7.55026          0.00593428
                 183            -7.46193            -7.54978          0.00592145
                 184            -7.47116            -7.54935          0.00590466
                 185            -7.48073            -7.54898          0.00588439
                 186             -7.4697            -7.54855          0.00586817
                 187            -7.43573            -7.54795          0.00586773
                 188            -7.42579             -7.5473          0.00587238
                 189            -7.48356            -7.54696          0.00585099
                 190             -7.4957            -7.54669          0.00582641
                 191            -7.48867            -7.54639          0.00580382
                 192            -7.46884            -7.54599          0.00578763
                 193            -7.53947            -7.54595          0.00575774
                 194            -7.48632            -7.54565          0.00573626
                 195             -7.4747            -7.54528          0.00571837
                 196            -7.40435            -7.54456          0.00573422
                 197            -7.43605            -7.54401          0.00573151
                 198            -7.44741            -7.54352          0.00572329
                 199            -7.52979            -7.54346          0.00569495
                 200            -7.52502            -7.54336          0.00566722
                 201            -7.46144            -7.54296          0.00565366
                 202            -7.48451            -7.54267          0.00563307
                 203            -7.51606            -7.54254          0.00560685
                 204            -7.45021            -7.54208           0.0055976
                 205            -7.49617            -7.54186          0.00557477
                 206            -7.49731            -7.54164           0.0055519
                 207            -7.51812            -7.54153          0.00552624
                 208            -7.44981            -7.54109          0.00551724
                 209            -7.48159             -7.5408          0.00549818
                 210            -7.42506            -7.54025          0.00549956
                 211             -7.4448             -7.5398          0.00549207
                 212            -7.46599            -7.53945          0.00547718
                 213            -7.56658            -7.53958          0.00545295
                 214            -7.60357            -7.53988          0.00543566
                 215            -7.55803            -7.53996          0.00541104
                 216             -7.5522            -7.54002          0.00538628
                 217            -7.65305            -7.54054          0.00538659
                 218            -7.70899            -7.54131          0.00541702
                 219            -7.66718            -7.54189          0.00542268
                 220            -7.67358            -7.54249          0.00543097
                 221            -7.61973            -7.54284          0.00541763
                 222            -7.62281             -7.5432          0.00540519
                 223            -7.70158            -7.54391          0.00542741
                 224            -7.62052            -7.54425          0.00541395
                 225            -7.67724            -7.54484          0.00542206
                 226            -7.60556            -7.54511          0.00540472
                 227            -7.57138            -7.54522          0.00538215
                 228            -7.58779            -7.54541          0.00536178
                 229            -7.59744            -7.54564          0.00534318
                 230            -7.55732            -7.54569          0.00532019
                 231            -7.52124            -7.54558          0.00529821
                 232            -7.54852            -7.54559          0.00527539
                 233            -7.61082            -7.54587          0.00526017
                 234            -7.64307            -7.54629          0.00525406
                 235            -7.49144            -7.54606          0.00523689
                 236            -7.49414            -7.54584          0.00521932
                 237            -7.48603            -7.54558          0.00520339
                 238            -7.48193            -7.54532           0.0051884
                 239            -7.34211            -7.54447          0.00523589
                 240            -7.34845            -7.54365          0.00527739
                 241            -7.32259            -7.54273          0.00533461
                 242            -7.38106            -7.54206          0.00535423
                 243            -7.31613            -7.54113          0.00541232
                 244            -7.34117            -7.54032          0.00545183
                 245            -7.34454            -7.53952          0.00548783
                 246            -7.42699            -7.53906          0.00548455
                 247            -7.46165            -7.53875          0.00547129
                 248            -7.46061            -7.53843           0.0054583
                 249             -7.3937            -7.53785          0.00546724
                 250            -7.43396            -7.53743          0.00546114
                 251            -7.52098            -7.53737          0.00543977
                 252            -7.49199            -7.53719          0.00542117
