#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                 106       -6.241034e+00       -6.343511e+00        8.745343e-03
                 107       -6.320858e+00       -6.343299e+00        8.666173e-03
                 108       -6.324155e+00       -6.343122e+00        8.587744e-03
                 109       -6.401505e+00       -6.343657e+00        8.525644e-03
                 110       -6.444130e+00       -6.344571e+00        8.496925e-03
                 111       -6.386568e+00       -6.344949e+00        8.428795e-03
                 112       -6.409151e+00       -6.345522e+00        8.373008e-03
                 113       -6.442833e+00       -6.346384e+00        8.343077e-03
                 114       -6.508874e+00       -6.347809e+00        8.390764e-03
                 115       -6.493027e+00       -6.349072e+00        8.412285e-03
                 116       -6.367862e+00       -6.349234e+00        8.341324e-03
                 117       -6.338390e+00       -6.349141e+00        8.270546e-03
                 118       -6.408024e+00       -6.349640e+00        8.215497e-03
                 119       -6.353566e+00       -6.349673e+00        8.146525e-03
                 120       -6.316754e+00       -6.349399e+00        8.083255e-03
                 121       -6.338919e+00       -6.349312e+00        8.016915e-03
                 122       -6.357335e+00       -6.349378e+00        7.951472e-03
                 123       -6.282110e+00       -6.348831e+00        7.905611e-03
                 124       -6.363230e+00       -6.348947e+00        7.842709e-03
                 125       -6.404032e+00       -6.349388e+00        7.792339e-03
                 126       -6.347127e+00       -6.349370e+00        7.730515e-03
                 127       -6.330577e+00       -6.349222e+00        7.671061e-03
                 128       -6.370453e+00       -6.349388e+00        7.612924e-03
                 129       -6.290807e+00       -6.348934e+00        7.567441e-03
                 130       -6.271724e+00       -6.348340e+00        7.532500e-03
                 131       -6.244744e+00       -6.347549e+00        7.516397e-03
                 132       -6.278096e+00       -6.347023e+00        7.477848e-03
                 133       -6.297949e+00       -6.346654e+00        7.430721e-03
                 134       -6.221855e+00       -6.345722e+00        7.433404e-03
                 135       -6.180961e+00       -6.344502e+00        7.477860e-03
                 136       -6.197639e+00       -6.343422e+00        7.500442e-03
                 137       -6.276892e+00       -6.342936e+00        7.461399e-03
                 138       -6.338106e+00       -6.342901e+00        7.407413e-03
                 139       -6.331099e+00       -6.342817e+00        7.354609e-03
                 140       -6.271822e+00       -6.342309e+00        7.319538e-03
                 141       -6.340477e+00       -6.342296e+00        7.267638e-03
                 142       -6.349928e+00       -6.342350e+00        7.216656e-03
                 143       -6.418413e+00       -6.342882e+00        7.185765e-03
                 144       -6.432079e+00       -6.343501e+00        7.162512e-03
                 145       -6.393772e+00       -6.343848e+00        7.121501e-03
                 146       -6.399927e+00       -6.344232e+00        7.083074e-03
                 147       -6.418040e+00       -6.344734e+00        7.052664e-03
                 148       -6.419609e+00       -6.345240e+00        7.023132e-03
                 149       -6.412235e+00       -6.345690e+00        6.990375e-03
                 150       -6.399821e+00       -6.346051e+00        6.953081e-03
                 151       -6.389447e+00       -6.346338e+00        6.912971e-03
