#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                 114        6.917120e+00        7.765993e+00        4.703508e-02
                 115        6.992629e+00        7.759268e+00        4.710438e-02
                 116        7.646455e+00        7.758295e+00        4.670834e-02
                 117        7.813830e+00        7.758770e+00        4.631154e-02
                 118        7.430999e+00        7.755992e+00        4.600230e-02
                 119        7.692863e+00        7.755462e+00        4.561878e-02
                 120        7.942112e+00        7.757017e+00        4.526513e-02
                 121        7.814101e+00        7.757489e+00        4.489350e-02
                 122        7.731914e+00        7.757279e+00        4.452601e-02
                 123        8.111427e+00        7.760159e+00        4.425700e-02
                 124        7.677871e+00        7.759495e+00        4.390507e-02
                 125        7.464393e+00        7.757134e+00        4.361725e-02
                 126        7.755144e+00        7.757118e+00        4.327109e-02
                 127        7.863316e+00        7.757955e+00        4.293845e-02
                 128        7.652038e+00        7.757127e+00        4.261096e-02
                 129        8.101834e+00        7.759799e+00        4.236435e-02
                 130        8.207501e+00        7.763243e+00        4.217822e-02
                 131        8.332750e+00        7.767590e+00        4.207969e-02
                 132        8.130612e+00        7.770341e+00        4.185068e-02
                 133        8.015685e+00        7.772185e+00        4.157665e-02
                 134        8.487087e+00        7.777520e+00        4.160727e-02
                 135        8.675425e+00        7.784172e+00        4.182730e-02
                 136        8.553936e+00        7.789832e+00        4.190095e-02
                 137        8.141150e+00        7.792396e+00        4.167350e-02
                 138        7.793652e+00        7.792405e+00        4.137152e-02
                 139        7.844220e+00        7.792778e+00        4.107556e-02
                 140        8.189215e+00        7.795610e+00        4.087965e-02
                 141        7.811534e+00        7.795722e+00        4.058988e-02
                 142        7.741667e+00        7.795342e+00        4.030582e-02
                 143        7.399854e+00        7.792576e+00        4.011874e-02
                 144        7.334318e+00        7.789394e+00        3.996615e-02
                 145        7.535599e+00        7.787643e+00        3.972883e-02
                 146        7.505084e+00        7.785708e+00        3.950383e-02
                 147        7.370286e+00        7.782882e+00        3.933605e-02
                 148        7.354372e+00        7.779987e+00        3.917667e-02
                 149        7.365405e+00        7.777204e+00        3.901243e-02
                 150        7.432155e+00        7.774904e+00        3.882010e-02
                 151        7.510454e+00        7.773153e+00        3.860250e-02
                 152        7.474699e+00        7.771189e+00        3.839844e-02
                 153        7.924443e+00        7.772191e+00        3.816053e-02
                 154        7.599765e+00        7.771071e+00        3.792916e-02
                 155        7.614848e+00        7.770063e+00        3.769784e-02
                 156        7.747749e+00        7.769920e+00        3.745646e-02
                 157        7.613256e+00        7.768922e+00        3.723117e-02
                 158        7.334122e+00        7.766171e+00        3.709710e-02
                 159        7.474079e+00        7.764333e+00        3.690924e-02
                 160        7.456436e+00        7.762409e+00        3.672869e-02
                 161        7.941499e+00        7.763521e+00        3.651740e-02
                 162        7.862360e+00        7.764132e+00        3.629708e-02
                 163        8.001269e+00        7.765586e+00        3.610354e-02
                 164        8.131923e+00        7.767820e+00        3.595244e-02
                 165        7.409526e+00        7.765649e+00        3.580006e-02
                 166        7.518241e+00        7.764158e+00        3.561541e-02
                 167        7.656396e+00        7.763513e+00        3.540799e-02
                 168        7.417621e+00        7.761454e+00        3.525703e-02
                 169        7.977089e+00        7.762730e+00        3.507149e-02
                 170        7.835714e+00        7.763159e+00        3.486782e-02
                 171        7.323471e+00        7.760588e+00        3.475859e-02
                 172        7.653579e+00        7.759966e+00        3.456207e-02
                 173        7.650881e+00        7.759335e+00        3.436804e-02
                 174        7.170472e+00        7.755951e+00        3.433675e-02
                 175        7.448074e+00        7.754192e+00        3.418558e-02
                 176        7.402787e+00        7.752195e+00        3.404960e-02
                 177        7.414602e+00        7.750288e+00        3.391061e-02
                 178        7.506156e+00        7.748916e+00        3.374782e-02
                 179        7.468437e+00        7.747349e+00        3.359564e-02
                 180        7.749692e+00        7.747362e+00        3.340900e-02
                 181        7.653495e+00        7.746844e+00        3.322845e-02
                 182        8.130710e+00        7.748953e+00        3.311274e-02
                 183        8.192988e+00        7.751379e+00        3.302058e-02
                 184        8.158698e+00        7.753593e+00        3.291524e-02
                 185        8.104633e+00        7.755491e+00        3.279197e-02
                 186        8.192769e+00        7.757842e+00        3.269983e-02
                 187        8.377903e+00        7.761157e+00        3.269265e-02
                 188        8.427091e+00        7.764700e+00        3.271009e-02
                 189        8.096244e+00        7.766454e+00        3.258402e-02
                 190        8.013581e+00        7.767755e+00        3.243848e-02
                 191        8.070219e+00        7.769338e+00        3.230727e-02
                 192        8.212550e+00        7.771646e+00        3.222137e-02
                 193        7.770728e+00        7.771642e+00        3.205442e-02
                 194        8.062156e+00        7.773139e+00        3.192415e-02
                 195        8.146090e+00        7.775052e+00        3.181768e-02
                 196        8.523350e+00        7.778870e+00        3.188357e-02
                 197        8.340341e+00        7.781720e+00        3.184886e-02
                 198        8.292491e+00        7.784299e+00        3.179231e-02
                 199        7.865335e+00        7.784707e+00        3.163515e-02
                 200        7.892541e+00        7.785246e+00        3.148157e-02
                 201        8.244136e+00        7.787529e+00        3.140762e-02
                 202        8.114428e+00        7.789147e+00        3.129380e-02
                 203        7.941821e+00        7.789899e+00        3.114868e-02
                 204        8.297684e+00        7.792388e+00        3.109529e-02
                 205        8.053309e+00        7.793661e+00        3.096964e-02
                 206        8.068279e+00        7.794994e+00        3.084798e-02
                 207        7.966029e+00        7.795820e+00        3.071002e-02
                 208        8.297840e+00        7.798234e+00        3.065707e-02
                 209        8.103748e+00        7.799696e+00        3.054522e-02
                 210        8.419922e+00        7.802649e+00        3.054222e-02
                 211        8.308846e+00        7.805048e+00        3.049154e-02
                 212        8.201816e+00        7.806920e+00        3.040510e-02
                 213        7.636385e+00        7.806119e+00        3.027289e-02
                 214        7.434312e+00        7.804382e+00        3.018124e-02
                 215        7.680808e+00        7.803807e+00        3.004634e-02
                 216        7.708186e+00        7.803364e+00        2.991050e-02
                 217        7.163410e+00        7.800415e+00        2.991769e-02
                 218        6.843325e+00        7.796025e+00        3.010087e-02
                 219        7.041456e+00        7.792579e+00        3.015997e-02
                 220        7.030520e+00        7.789116e+00        3.022114e-02
                 221        7.312911e+00        7.786961e+00        3.016112e-02
                 222        7.299591e+00        7.784765e+00        3.010505e-02
                 223        6.837444e+00        7.780517e+00        3.026828e-02
                 224        7.311169e+00        7.778422e+00        3.020559e-02
                 225        7.038467e+00        7.775133e+00        3.024985e-02
