3.0 6.493689e-01 6.096564e-04
2.9 6.870848e-01 7.348209e-04
2.8 7.300633e-01 9.457736e-04
2.7 7.770709e-01 1.010302e-03
2.6 8.288222e-01 9.175641e-04
2.5 8.905158e-01 8.278953e-04
2.4 9.563689e-01 1.318300e-03
2.3 1.039766e+00 1.272480e-03
2.2 1.129331e+00 1.233697e-03
2.1 1.234906e+00 1.545640e-03
2.0 1.359768e+00 1.780097e-03
1.9 1.508047e+00 1.931676e-03
1.8 1.690605e+00 2.505964e-03
1.7 1.905678e+00 2.593335e-03
1.6 2.179463e+00 4.932484e-03
1.5 2.532738e+00 5.061532e-03
1.4 2.977234e+00 5.447434e-03
1.3 3.582398e+00 7.783605e-03
1.2 4.408710e+00 1.089443e-02
1.1 5.608836e+00 1.511334e-02
1.0 7.389363e+00 1.993945e-02
0.9 1.025464e+01 3.413175e-02
0.8 1.518053e+01 5.850200e-02
0.7 2.470020e+01 1.216058e-01
0.6 4.454591e+01 2.001371e-01
0.5 7.929005e+01 2.771642e-01
