3.0 9.942077e-02 9.809776e-05
2.9 1.057841e-01 1.076053e-04
2.8 1.125142e-01 1.039623e-04
2.7 1.199070e-01 1.151886e-04
2.6 1.279917e-01 1.233879e-04
2.5 1.368247e-01 1.311560e-04
2.4 1.465319e-01 1.353947e-04
2.3 1.573247e-01 1.667886e-04
2.2 1.692431e-01 1.493019e-04
2.1 1.822935e-01 1.763652e-04
2.0 1.966428e-01 1.650095e-04
1.9 2.122406e-01 2.230673e-04
1.8 2.301009e-01 3.018661e-04
1.7 2.491495e-01 2.566923e-04
1.6 2.706494e-01 3.135578e-04
1.5 2.934252e-01 3.327516e-04
1.4 3.180376e-01 3.672713e-04
1.3 3.452289e-01 4.583640e-04
1.2 3.712682e-01 3.978520e-04
1.1 3.977768e-01 6.262579e-04
1.0 4.211838e-01 7.076851e-04
0.9 4.359801e-01 7.682617e-04
0.8 4.383458e-01 8.438522e-04
0.7 4.312535e-01 1.157771e-03
0.6 4.235943e-01 1.554282e-03
0.5 3.272258e-01 2.254186e-03
