           beta           mean          sigma           E           errE
        131.561       0.722466       0.609657      -0.424469     0.00120208
         131.79       0.727907       0.610471      -0.424867     0.00114576
         132.02       0.721693       0.617852      -0.425263     0.00102648
         132.48       0.721108       0.619207      -0.423311      0.0012306
         132.71       0.724563       0.617411      -0.426496     0.00109791
        133.172       0.724535        0.61923      -0.425651     0.00108848
        133.402       0.733806       0.623477       -0.42837      0.0011964
        133.634       0.734408       0.631471      -0.428472      0.0010776
        133.865       0.739082       0.634822      -0.430012     0.00103154
        134.096       0.734179       0.631792      -0.427285     0.00123279
        134.328       0.736921       0.637221      -0.427177     0.00129284
         134.56       0.731179       0.645939      -0.425594     0.00141898
        135.024       0.732638        0.64783      -0.424221     0.00111926
        135.257       0.726959        0.64243      -0.424191     0.00114259
         135.49       0.721479       0.635391      -0.420983     0.00128173
        135.722       0.716046       0.630418      -0.420542     0.00121883
        135.956       0.711146       0.629438      -0.415893     0.00106836
        136.189       0.706991       0.621028      -0.414711      0.0012921
        136.422       0.710048       0.630457      -0.413899     0.00130501
        136.656       0.706024       0.626847      -0.414542     0.00113962
         136.89       0.707239       0.631545      -0.414323     0.00110192
        137.124       0.709741       0.630936       -0.41672     0.00120887
        137.358       0.719596       0.638577      -0.420313     0.00126002
        137.593       0.718043       0.632027      -0.420399     0.00123239
        137.828        0.71836       0.627915      -0.421132     0.00123024
        138.062       0.724162       0.636355       -0.42278     0.00115468
        138.298       0.731136       0.642938      -0.424513     0.00132296
        138.533       0.735433       0.651403      -0.427514     0.00121884
        139.004       0.735848       0.650561      -0.427456     0.00125165
        139.476        0.74044       0.654644      -0.426049     0.00134612
        139.712       0.746836       0.658292      -0.424547     0.00147017
        140.186       0.751559       0.656688      -0.427566     0.00133736
        140.422       0.751962        0.64828      -0.429887     0.00130524
         140.66       0.748014        0.65468      -0.429005     0.00124565
        141.134       0.752617       0.649908      -0.431481     0.00154058
         141.61        0.75531       0.649018      -0.432311       0.001402
        141.848       0.762391       0.648145      -0.435337     0.00123387
        142.086       0.768905       0.654141      -0.430559     0.00143631
        142.325       0.778618       0.663677      -0.432087     0.00134182
        142.564       0.786404       0.668983      -0.423995     0.00200799
        143.042       0.789264       0.665353      -0.430222     0.00161369
        143.281       0.780652       0.655737      -0.431543     0.00148454
         143.52       0.770886       0.648819       -0.43558     0.00127273
         143.76       0.776021       0.644303      -0.438084     0.00129933
         144.48       0.778184       0.641323      -0.438781     0.00120097
        144.721       0.774434       0.635536      -0.440357     0.00117802
        144.962       0.771657       0.637538      -0.437595     0.00126682
        145.202       0.777052       0.630656      -0.438622     0.00112462
        145.444       0.784018       0.624844      -0.441283     0.00123632
        145.685       0.781773       0.615619      -0.444207     0.00110964
        145.926       0.783358       0.610347       -0.44107     0.00114832
        146.168       0.787704       0.619536      -0.443972      0.0011612
         146.41       0.781623       0.626404      -0.441988     0.00122378
        146.652        0.77821       0.622933      -0.439979      0.0012594
        146.894       0.787004       0.616509      -0.442962     0.00120636
        147.137       0.796785       0.612603      -0.443208     0.00122439
         147.38       0.802593       0.604507      -0.441444     0.00116955
        147.622        0.79761       0.612342      -0.443824     0.00111765
        147.866       0.797612       0.618194      -0.445406     0.00123913
        148.352       0.798933       0.615502       -0.44517     0.00106124
        148.596       0.790612       0.624156      -0.444446     0.00107607
        149.084       0.789616       0.628021      -0.444108      0.0010633
        149.328       0.788227       0.634718        -0.4424     0.00124225
        149.573       0.780573       0.632852      -0.441611     0.00123561
        149.818       0.778706        0.62538        -0.4441     0.00103119
        150.308       0.775673       0.626959      -0.443468     0.00101328
        150.553       0.780386       0.622601      -0.441823     0.00149684
        150.798       0.775351       0.622245      -0.440165     0.00105894
        151.044       0.779229       0.622728      -0.442196     0.00107525
         151.29       0.780581       0.619807      -0.442842     0.00106881
        151.536       0.782583       0.616268      -0.445504    0.000961052
        152.029       0.787485       0.614054      -0.445205     0.00109122
        152.522       0.788586       0.615686       -0.44379     0.00120298
         152.77       0.794875       0.618096      -0.445639     0.00108934
        153.017       0.791741       0.614901      -0.445095     0.00100357
        153.264       0.788036       0.610251      -0.445558     0.00110038
        153.512       0.791964       0.615008      -0.444585     0.00120635
         153.76       0.792279       0.607192      -0.446048     0.00127373
        154.008       0.792061        0.61243      -0.444893     0.00118548
        154.256       0.792061       0.606177      -0.441735     0.00124641
        154.505        0.79537       0.597994      -0.442458     0.00103968
        155.002       0.799212       0.602354      -0.444018     0.00125255
        155.252       0.803011       0.611032       -0.44427     0.00129273
        155.501       0.812763       0.601896      -0.440674     0.00109626
         155.75       0.804539       0.592499      -0.439383     0.00131478
            156       0.805934        0.59086      -0.441537     0.00116954
         156.25       0.811023       0.593673      -0.440773     0.00126319
          156.5        0.81757       0.589193      -0.437729     0.00136551
         156.75       0.808284       0.589876       -0.43937     0.00127179
        157.001       0.805051       0.587132       -0.43613     0.00139834
        157.252       0.804885        0.59643      -0.440376     0.00119992
        157.502       0.801986       0.597622      -0.441608     0.00113778
        157.754       0.805819       0.605553      -0.442549      0.0012318
        158.005       0.804971       0.615398      -0.445405     0.00118929
        158.256       0.807231       0.606879      -0.441698     0.00131758
         158.76       0.811626       0.605681      -0.442283     0.00118065
        159.012        0.81849       0.608261      -0.444736     0.00114469
        159.264       0.821055       0.617523      -0.442822     0.00133914
         159.77       0.820743       0.616105      -0.441717      0.0013395
        160.022       0.815558       0.614715      -0.444168     0.00133654
        160.276        0.82368       0.621792      -0.441443     0.00143832
        160.529       0.827724       0.624519      -0.442406     0.00126834
        160.782       0.831452       0.618143      -0.438659     0.00159769
        161.036       0.826243       0.627785      -0.440394     0.00141231
         161.29       0.820854       0.623535      -0.445614     0.00128898
        161.544       0.827522       0.631569      -0.440983     0.00127073
        161.798       0.819429       0.632994      -0.441972     0.00136671
        162.053       0.819995       0.627394      -0.442144     0.00137155
        162.308        0.81503       0.627308      -0.443607     0.00116634
        162.562       0.811288       0.629722      -0.442337     0.00123632
        162.818       0.810164       0.627433      -0.443233     0.00129659
        163.073       0.816607       0.634111      -0.442605     0.00124185
        163.328       0.813204       0.642707      -0.434675      0.0017215
        163.584       0.821743       0.647758      -0.436285     0.00142468
         163.84       0.829632       0.654896      -0.428809     0.00172783
        164.096        0.82916       0.645751      -0.431756     0.00162907
        164.352       0.826982       0.650107      -0.431458      0.0017653
        164.609       0.817863        0.65429      -0.432613     0.00157622
        164.866       0.818664       0.658329      -0.430382     0.00185474
        165.122       0.813845       0.659605      -0.428935     0.00149453
         165.38       0.812856       0.657197       -0.43202      0.0017166
        165.637       0.811485       0.651624      -0.434671     0.00164328
        165.894        0.80676       0.651247       -0.43381      0.0015469
        166.152        0.81284       0.652867      -0.431844     0.00181286
         166.41       0.820986       0.655863       -0.42994     0.00179626
        167.444        0.81935       0.655165      -0.430069     0.00173713
        167.702       0.818862       0.661408      -0.430003     0.00157475
        167.962       0.818523       0.654015      -0.430866     0.00153936
        168.221       0.820738       0.646798      -0.438164     0.00130024
         169.52       0.820231       0.646083      -0.438255      0.0016543
        169.781       0.810578       0.641727      -0.439357     0.00144674
        170.042       0.816634        0.64175       -0.43647      0.0014643
        170.302       0.819618       0.647092       -0.43535     0.00145125
        170.564       0.810613        0.65143      -0.434579      0.0014224
        170.825       0.818384       0.657306      -0.430599     0.00156368
        171.086       0.816344       0.660824      -0.427684     0.00185398
         171.61       0.819044       0.663099       -0.42946     0.00154306
        171.872        0.82597       0.654089      -0.429268     0.00163149
        172.134       0.827864       0.656192      -0.429628     0.00168971
        172.397       0.828134       0.664302      -0.423959     0.00198856
        173.186       0.827063       0.661811      -0.425833     0.00183441
        173.449       0.823011        0.66495      -0.422831      0.0017682
        173.712       0.821393       0.666728      -0.422037     0.00186307
        173.976       0.824479       0.657858      -0.427682     0.00179845
         174.24       0.816978       0.650191      -0.435462      0.0014609
        174.504       0.817749       0.649815      -0.432539     0.00173063
        174.768       0.809345       0.643743      -0.437629     0.00143844
        175.033       0.801367       0.648356      -0.439325     0.00142892
        175.298       0.804717          0.654      -0.435139     0.00167784
        176.093       0.805683       0.655557      -0.431768     0.00160727
        176.358       0.795695        0.65203      -0.433479     0.00134744
        176.624       0.804989       0.654788      -0.434183     0.00174447
        177.156       0.804046       0.657154      -0.436525      0.0013693
        177.422       0.798078       0.649614      -0.435127     0.00150358
        177.689       0.792968       0.649055      -0.436895     0.00154302
        177.956       0.801274       0.642136         -0.439     0.00153281
        178.222       0.795506       0.636015      -0.440303     0.00138384
         178.49       0.792917       0.643058      -0.442307      0.0015699
        179.024        0.78854       0.645265      -0.439454     0.00131449
        179.828       0.789796       0.643619      -0.437605      0.0014236
        180.096        0.78032        0.64013      -0.437478     0.00132301
        180.365       0.784707       0.647317      -0.438543     0.00118959
        180.902       0.787095        0.64648      -0.437547     0.00138925
        181.172       0.780514       0.645227      -0.438501     0.00135427
        181.441       0.778999       0.644241      -0.435872     0.00125962
         181.71         0.7697       0.648023      -0.437407     0.00131386
         181.98       0.777999       0.644022      -0.438034     0.00144696
         182.25       0.780434       0.643007      -0.439324     0.00126439
         182.79       0.783906       0.638556      -0.440036     0.00122055
        183.061       0.782351        0.64055      -0.438896     0.00134255
        183.332       0.775254       0.631312      -0.442175     0.00122813
        183.602       0.778676       0.639275      -0.439669     0.00108539
        184.145       0.783402       0.642473      -0.437815     0.00154376
        184.416       0.775559       0.639235      -0.438791     0.00132988
         184.96        0.77765       0.642432      -0.438249     0.00115046
        185.232       0.779078       0.644788      -0.439144     0.00123519
        185.504       0.772926       0.640196      -0.439514     0.00114596
        185.777       0.781814       0.638538      -0.439086     0.00139971
         186.05       0.783579       0.631493      -0.441667     0.00102802
        186.322       0.787109       0.641071      -0.442412      0.0013159
        186.596       0.785406       0.634012      -0.443312      0.0012145
        186.869       0.785523       0.632007      -0.442633     0.00111739
        187.142       0.792623       0.636573      -0.438896      0.0014477
        187.416       0.795918       0.641352      -0.440347     0.00131303
        187.964       0.797814       0.638378      -0.442888     0.00126511
        188.513       0.794463       0.635047      -0.443005     0.00127471
        188.788       0.786505        0.62951      -0.442783     0.00120534
        189.338       0.786204       0.624712      -0.444934     0.00119026
        189.888       0.789107       0.623634      -0.444399     0.00127522
        190.164       0.793546       0.630737      -0.444835     0.00124238
        190.992       0.790647        0.62758      -0.442146     0.00134035
        191.269       0.787852       0.632253      -0.444575     0.00102629
        191.546       0.792279       0.625197      -0.445695     0.00118065
        191.822       0.783239       0.629036       -0.44174    0.000983037
          192.1       0.784592       0.636655      -0.440981     0.00120157
        192.654       0.781428       0.634468      -0.440481     0.00104833
        192.932       0.790664       0.639863      -0.440619     0.00136634
         193.21       0.788914       0.638191      -0.441717     0.00132733
        193.766       0.790414       0.633816      -0.440793     0.00134957
        194.045       0.787184       0.631306      -0.444155     0.00113951
        194.602       0.790964       0.628634       -0.44368     0.00126595
        194.882       0.793655       0.630468       -0.44227     0.00123874
         195.44        0.78967       0.628058      -0.443744     0.00125499
         195.72       0.792344       0.622451      -0.446064     0.00104244
            196       0.796143       0.625748      -0.446968     0.00107011
         196.28        0.79743       0.619436      -0.443699     0.00115292
         196.56       0.794503       0.617351      -0.444516    0.000995891
        196.841       0.801432       0.611486      -0.443345     0.00107343
        197.122       0.794344       0.614448      -0.442482     0.00117744
        197.402       0.793279       0.608982      -0.444357     0.00116648
        197.965       0.797941        0.60604      -0.445689     0.00129707
        199.092       0.797086       0.606254      -0.442201      0.0013525
        199.374       0.789283       0.606015      -0.443849     0.00121203
        199.657       0.795102       0.605421      -0.443345     0.00118365
         199.94       0.791143       0.607644       -0.44338     0.00122989
        200.222       0.785583       0.613464      -0.443618     0.00117468
        200.506       0.791941       0.616141      -0.445653     0.00121641
        200.789       0.794938       0.613421      -0.445501      0.0011727
        201.072       0.796883       0.611024      -0.444111     0.00131453
        201.356       0.800927       0.606129      -0.443262     0.00119789
         201.64       0.807615       0.601218      -0.443045     0.00114484
        201.924       0.804916       0.609968      -0.443256     0.00113452
        202.208       0.811583       0.607912      -0.446914     0.00134527
        203.633       0.812053        0.60634      -0.443301     0.00123754
        203.918       0.813504       0.605994      -0.443197     0.00124128
        204.204       0.814737       0.601286      -0.442159     0.00148419
         204.49        0.81144       0.597281      -0.440623     0.00125457
        204.776       0.803845       0.592343      -0.439927     0.00124422
        205.062       0.797515       0.597013      -0.442223     0.00114321
        205.349       0.788544       0.602664      -0.443912     0.00117207
        205.922       0.787224       0.603451      -0.442664     0.00107167
         206.21       0.779441       0.602464      -0.440758     0.00113953
        206.497       0.787612       0.599759       -0.44227     0.00103189
        207.072       0.782991       0.604053      -0.440401     0.00119544
         207.36       0.782519       0.594569      -0.439591     0.00125764
        207.648        0.77496       0.595985      -0.439521     0.00116598
        207.936       0.776715       0.599519      -0.439778     0.00111332
        208.225       0.771675       0.592769      -0.439322     0.00119213
        208.514       0.772688       0.600964      -0.440873      0.0011007
        208.802       0.774606       0.593559      -0.436204     0.00112488
        209.092       0.782767       0.592878      -0.439348     0.00122935
        209.381       0.789801       0.589682      -0.439393     0.00126596
         209.67       0.797884        0.58977      -0.440238     0.00113777
         209.96       0.799551       0.597814      -0.441678      0.0013845
         210.25       0.805826       0.600687      -0.441587     0.00130454
         210.54       0.813355       0.604012      -0.441591     0.00134651
         210.83       0.821147       0.605599      -0.443017     0.00127174
        211.412       0.824074       0.606745      -0.439609     0.00132133
        211.702       0.832871       0.600532      -0.439101      0.0014209
        211.994       0.826741       0.610204      -0.441846     0.00118886
        212.285       0.826503       0.606316      -0.440573     0.00142882
        212.576       0.825076        0.61079      -0.444045     0.00125459
        212.868       0.823829       0.604278       -0.44086     0.00129681
         213.16       0.815973       0.612733      -0.443243     0.00144998
        213.452       0.812991       0.619152      -0.442596     0.00137097
        213.744       0.814624       0.619696      -0.445065        0.00132
        214.037       0.812691       0.627641      -0.440983     0.00139112
         214.33       0.816082       0.626571      -0.442516     0.00144106
        214.622       0.811013        0.62369      -0.442492     0.00109556
        214.916       0.808869       0.621893       -0.44446     0.00127384
        215.209       0.808197       0.622377      -0.443165      0.0013278
        215.502       0.814868       0.617957      -0.441093        0.00142
