3.0 9.954600e-02 8.462285e-05
2.9 1.057707e-01 9.433345e-05
2.8 1.125738e-01 1.008806e-04
2.7 1.200262e-01 1.137344e-04
2.6 1.281277e-01 1.359446e-04
2.5 1.369257e-01 1.340281e-04
2.4 1.466197e-01 1.587213e-04
2.3 1.572320e-01 1.534523e-04
2.2 1.690647e-01 1.712046e-04
2.1 1.822120e-01 1.780098e-04
2.0 1.965700e-01 2.069991e-04
1.9 2.127533e-01 2.165101e-04
1.8 2.303153e-01 2.412997e-04
1.7 2.494100e-01 2.490257e-04
1.6 2.703655e-01 3.251053e-04
1.5 2.935940e-01 3.710368e-04
1.4 3.182210e-01 3.832822e-04
1.3 3.446636e-01 3.946889e-04
1.2 3.715347e-01 3.949609e-04
1.1 3.964943e-01 6.033620e-04
1.0 4.194022e-01 5.688011e-04
0.9 4.353323e-01 9.538039e-04
0.8 4.400392e-01 1.135366e-03
0.7 4.345217e-01 1.704083e-03
0.6 4.211882e-01 1.648342e-03
0.5 3.238392e-01 3.138528e-03
