3.0 6.485748e-01 9.505443e-04
2.9 6.873273e-01 1.087466e-03
2.8 7.292176e-01 1.114587e-03
2.7 7.764556e-01 1.227717e-03
2.6 8.300749e-01 1.174168e-03
2.5 8.903825e-01 1.252229e-03
2.4 9.582620e-01 1.453043e-03
2.3 1.035928e+00 1.573628e-03
2.2 1.126581e+00 1.703325e-03
2.1 1.233073e+00 1.778516e-03
2.0 1.357453e+00 2.045785e-03
1.9 1.506598e+00 2.338359e-03
1.8 1.685056e+00 2.537633e-03
1.7 1.905019e+00 2.964019e-03
1.6 2.179341e+00 4.363579e-03
1.5 2.529878e+00 5.060930e-03
1.4 2.975068e+00 7.033742e-03
1.3 3.572590e+00 8.684241e-03
1.2 4.397767e+00 1.193644e-02
1.1 5.597781e+00 1.835089e-02
1.0 7.387441e+00 2.801657e-02
0.9 1.020092e+01 5.099747e-02
0.8 1.510288e+01 8.027994e-02
0.7 2.484896e+01 1.360316e-01
0.6 4.410182e+01 3.430929e-01
0.5 7.960162e+01 3.941603e-01
