#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1       -5.462780e+00       -5.462780e+00        0.000000e+00
                   2       -5.461180e+00       -5.461980e+00        5.659399e-04
                   3       -5.461551e+00       -5.461837e+00        3.949626e-04
                   4       -5.461784e+00       -5.461824e+00        2.964454e-04
                   5       -5.461520e+00       -5.461763e+00        2.432861e-04
                   6       -5.461050e+00       -5.461644e+00        2.299542e-04
                   7       -5.460876e+00       -5.461534e+00        2.217071e-04
                   8       -5.462215e+00       -5.461619e+00        2.096751e-04
                   9       -5.460480e+00       -5.461493e+00        2.213017e-04
                  10       -5.461735e+00       -5.461517e+00        2.004909e-04
                  11       -5.461416e+00       -5.461508e+00        1.824762e-04
                  12       -5.461022e+00       -5.461467e+00        1.716983e-04
                  13       -5.462710e+00       -5.461563e+00        1.831723e-04
                  14       -5.461628e+00       -5.461568e+00        1.701466e-04
                  15       -5.461454e+00       -5.461560e+00        1.589719e-04
                  16       -5.461811e+00       -5.461576e+00        1.498062e-04
                  17       -5.460859e+00       -5.461534e+00        1.467988e-04
                  18       -5.461370e+00       -5.461524e+00        1.389256e-04
                  19       -5.461533e+00       -5.461525e+00        1.316145e-04
                  20       -5.461154e+00       -5.461506e+00        1.263303e-04
                  21       -5.462025e+00       -5.461531e+00        1.227019e-04
                  22       -5.460699e+00       -5.461493e+00        1.228173e-04
                  23       -5.462590e+00       -5.461541e+00        1.264027e-04
                  24       -5.462389e+00       -5.461576e+00        1.259830e-04
                  25       -5.461247e+00       -5.461563e+00        1.216300e-04
                  26       -5.461852e+00       -5.461574e+00        1.174575e-04
                  27       -5.462170e+00       -5.461596e+00        1.151596e-04
                  28       -5.461231e+00       -5.461583e+00        1.117840e-04
                  29       -5.462193e+00       -5.461604e+00        1.098898e-04
                  30       -5.461049e+00       -5.461586e+00        1.077741e-04
                  31       -5.461945e+00       -5.461597e+00        1.049199e-04
                  32       -5.460723e+00       -5.461570e+00        1.051405e-04
                  33       -5.461394e+00       -5.461565e+00        1.020891e-04
                  34       -5.461307e+00       -5.461557e+00        9.936742e-05
                  35       -5.461717e+00       -5.461562e+00        9.663297e-05
                  36       -5.461872e+00       -5.461570e+00        9.433321e-05
                  37       -5.461603e+00       -5.461571e+00        9.178769e-05
                  38       -5.460568e+00       -5.461545e+00        9.309112e-05
                  39       -5.460902e+00       -5.461528e+00        9.215152e-05
                  40       -5.460767e+00       -5.461509e+00        9.179039e-05
                  41       -5.461827e+00       -5.461517e+00        8.987769e-05
                  42       -5.460552e+00       -5.461494e+00        9.062553e-05
                  43       -5.460067e+00       -5.461461e+00        9.439518e-05
                  44       -5.461544e+00       -5.461463e+00        9.226874e-05
                  45       -5.461909e+00       -5.461473e+00        9.074984e-05
                  46       -5.461337e+00       -5.461470e+00        8.882478e-05
                  47       -5.460361e+00       -5.461446e+00        9.001539e-05
                  48       -5.461003e+00       -5.461437e+00        8.861314e-05
                  49       -5.461205e+00       -5.461432e+00        8.693087e-05
                  50       -5.461858e+00       -5.461441e+00        8.560914e-05
