#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -6.65778            -6.65778                   0
                   2            -6.66168            -6.65973          0.00137971
                   3            -6.66413             -6.6612          0.00150882
                   4            -6.66096            -6.66114          0.00113281
                   5            -6.65616            -6.66014          0.00127051
                   6            -6.65924            -6.65999          0.00106757
                   7            -6.66874            -6.66124          0.00147571
                   8            -6.66193            -6.66133          0.00129374
                   9            -6.65909            -6.66108           0.0011737
                  10            -6.66317            -6.66129          0.00107477
                  11            -6.65822            -6.66101          0.00101265
                  12            -6.66243            -6.66113         0.000935213
                  13            -6.66545            -6.66146         0.000920384
                  14            -6.66539            -6.66174         0.000896359
                  15             -6.6605            -6.66166         0.000840427
                  16            -6.65827            -6.66144         0.000814132
                  17            -6.66222            -6.66149         0.000767526
                  18            -6.66382            -6.66162          0.00073573
                  19            -6.66181            -6.66163         0.000697075
                  20            -6.66159            -6.66163         0.000662225
                  21            -6.66262            -6.66168         0.000632369
                  22             -6.6613            -6.66166         0.000603851
                  23            -6.66391            -6.66176         0.000585481
                  24            -6.66453            -6.66187         0.000572362
                  25            -6.66188            -6.66187         0.000549467
                  26            -6.65608            -6.66165         0.000571767
                  27             -6.6635            -6.66172         0.000554692
                  28            -6.66492            -6.66183         0.000546529
                  29            -6.66809            -6.66205         0.000568641
                  30            -6.65983            -6.66197         0.000554456
                  31            -6.65962             -6.6619          0.00054175
                  32            -6.66247            -6.66192         0.000525115
                  33            -6.66086            -6.66188         0.000510168
                  34            -6.65795            -6.66177         0.000508114
                  35            -6.66104            -6.66175         0.000494023
                  36            -6.66303            -6.66178         0.000481592
                  37            -6.65649            -6.66164          0.00048937
                  38            -6.66117            -6.66163         0.000476651
                  39            -6.65507            -6.66146         0.000493221
                  40            -6.66622            -6.66158         0.000495034
                  41              -6.659            -6.66152         0.000486942
                  42            -6.65718            -6.66141         0.000486172
                  43             -6.6575            -6.66132         0.000483291
                  44            -6.66002            -6.66129         0.000473215
                  45            -6.65999            -6.66126         0.000463581
                  46             -6.6607            -6.66125         0.000453663
                  47            -6.65782            -6.66118          0.00044986
                  48            -6.66218             -6.6612         0.000440972
                  49            -6.65788            -6.66113         0.000437147
                  50            -6.65537            -6.66102         0.000443351
