#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        9.633114e+00        9.633114e+00        0.000000e+00
                   2        9.597901e+00        9.615507e+00        1.244981e-02
                   3        9.604233e+00        9.611749e+00        8.848867e-03
                   4        9.609248e+00        9.611124e+00        6.658709e-03
                   5        9.619848e+00        9.612869e+00        5.550857e-03
                   6        9.616696e+00        9.613507e+00        4.662213e-03
                   7        9.570239e+00        9.607326e+00        6.979767e-03
                   8        9.612843e+00        9.608015e+00        6.141278e-03
                   9        9.613937e+00        9.608673e+00        5.494050e-03
                  10        9.589369e+00        9.606743e+00        5.272891e-03
                  11        9.619540e+00        9.607906e+00        4.920211e-03
                  12        9.599854e+00        9.607235e+00        4.555724e-03
                  13        9.605485e+00        9.607101e+00        4.207273e-03
                  14        9.609980e+00        9.607306e+00        3.911777e-03
                  15        9.629153e+00        9.608763e+00        3.912750e-03
                  16        9.635897e+00        9.610459e+00        4.018965e-03
                  17        9.599406e+00        9.609808e+00        3.834780e-03
                  18        9.590304e+00        9.608725e+00        3.771720e-03
                  19        9.595251e+00        9.608016e+00        3.639262e-03
                  20        9.601350e+00        9.607682e+00        3.472526e-03
                  21        9.606393e+00        9.607621e+00        3.307710e-03
                  22        9.615108e+00        9.607961e+00        3.174820e-03
                  23        9.614817e+00        9.608259e+00        3.050746e-03
                  24        9.605507e+00        9.608145e+00        2.925786e-03
                  25        9.615168e+00        9.608426e+00        2.822211e-03
                  26        9.660304e+00        9.610421e+00        3.345466e-03
                  27        9.602166e+00        9.610115e+00        3.235499e-03
                  28        9.611769e+00        9.610174e+00        3.120485e-03
                  29        9.588303e+00        9.609420e+00        3.102684e-03
                  30        9.615911e+00        9.609637e+00        3.006796e-03
                  31        9.610120e+00        9.609652e+00        2.909844e-03
                  32        9.600742e+00        9.609374e+00        2.832201e-03
                  33        9.592116e+00        9.608851e+00        2.794242e-03
                  34        9.624234e+00        9.609303e+00        2.748445e-03
                  35        9.600508e+00        9.609052e+00        2.681381e-03
                  36        9.597101e+00        9.608720e+00        2.627368e-03
                  37        9.649010e+00        9.609809e+00        2.772843e-03
                  38        9.596649e+00        9.609463e+00        2.721415e-03
                  39        9.637126e+00        9.610172e+00        2.742515e-03
                  40        9.570613e+00        9.609183e+00        2.846690e-03
                  41        9.606613e+00        9.609120e+00        2.777948e-03
                  42        9.599780e+00        9.608898e+00        2.720694e-03
                  43        9.618701e+00        9.609126e+00        2.666956e-03
                  44        9.611205e+00        9.609173e+00        2.606762e-03
                  45        9.599319e+00        9.608954e+00        2.558015e-03
                  46        9.595147e+00        9.608654e+00        2.519953e-03
                  47        9.604746e+00        9.608571e+00        2.467709e-03
                  48        9.613551e+00        9.608674e+00        2.418478e-03
                  49        9.619614e+00        9.608898e+00        2.379404e-03
                  50        9.636278e+00        9.609445e+00        2.394001e-03
