#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1               1.195               1.195                   0
                   2              1.2005             1.19775          0.00194565
                   3             1.20258             1.19936          0.00184555
                   4             1.19917             1.19931          0.00138475
                   5             1.19464             1.19838          0.00138796
                   6             1.19819             1.19835          0.00115698
                   7             1.20787             1.19971          0.00160287
                   8             1.19971             1.19971          0.00140251
                   9             1.19861             1.19959          0.00125201
                  10             1.20143             1.19977          0.00114036
                  11              1.1968              1.1995          0.00106815
                  12             1.20141             1.19966         0.000990942
                  13             1.20274              1.1999         0.000942542
                  14             1.20376             1.20017         0.000914697
                  15             1.19904              1.2001         0.000856813
                  16             1.19646             1.19987         0.000832889
                  17             1.20136             1.19996         0.000788518
                  18             1.20245              1.2001         0.000756796
                  19             1.20028             1.20011         0.000717025
                  20             1.20044             1.20012         0.000681363
                  21             1.20059             1.20014         0.000649289
                  22              1.2006             1.20017         0.000620112
                  23             1.20132             1.20022          0.00059518
                  24             1.20214              1.2003          0.00057575
                  25             1.20063             1.20031         0.000552875
                  26             1.19422             1.20007         0.000579023
                  27             1.20133             1.20012         0.000559447
                  28             1.20369             1.20025         0.000553769
                  29             1.20589             1.20044         0.000567846
                  30             1.19878             1.20039         0.000551604
                  31             1.19767              1.2003         0.000540717
                  32             1.20175             1.20035         0.000525706
                  33             1.19947             1.20032         0.000510444
                  34             1.19664             1.20021         0.000506753
                  35             1.19932             1.20019          0.00049291
                  36             1.20116             1.20021         0.000479964
                  37             1.19489             1.20007         0.000488103
                  38              1.2006             1.20008         0.000475457
                  39             1.19416             1.19993         0.000486878
                  40             1.20545             1.20007         0.000493877
                  41             1.19717                 1.2          0.00048686
                  42             1.19663             1.19992         0.000481842
                  43             1.19744             1.19986         0.000474083
                  44             1.19847             1.19983         0.000464356
                  45             1.19808             1.19979         0.000455657
                  46             1.19937             1.19978         0.000445845
                  47             1.19745             1.19973         0.000439097
                  48             1.20118             1.19976         0.000430981
                  49             1.19667              1.1997         0.000426769
                  50             1.19351             1.19957         0.000435829
