1 15.0867 0 5.14707 0 15.0464 0 5.34875 0
2 14.5767 0.51002 5.48382 0.336739 15.0055 0.041156 5.47748 0.128745
3 14.7118 0.323989 5.57932 0.216612 15.226 0.2218 5.45129 0.078818
4 14.7289 0.229721 5.47351 0.186157 15.2828 0.16677 5.44306 0.0563295
5 14.7669 0.181945 5.44741 0.14654 15.1936 0.156976 5.44461 0.0436592
6 14.6753 0.174561 5.46494 0.120926 15.085 0.168014 5.43219 0.0377548
7 14.78 0.180893 5.40773 0.117128 15.0062 0.162374 5.44239 0.033509
8 14.8065 0.158881 5.43456 0.104928 15.0813 0.159421 5.43219 0.0307663
9 14.7569 0.148662 5.44503 0.0931278 15.2332 0.20697 5.41622 0.0314831
10 14.7919 0.137493 5.41479 0.0886145 15.1371 0.208557 5.43347 0.0330338
11 14.845 0.135249 5.40986 0.0803071 15.154 0.189398 5.43639 0.0300192
12 14.9041 0.136843 5.40853 0.0733183 15.1515 0.172915 5.42769 0.0287578
13 14.9297 0.128475 5.3918 0.0694901 15.1004 0.167056 5.43671 0.0279471
14 14.9077 0.120976 5.41475 0.0683009 15.1077 0.154833 5.43117 0.0264581
15 14.9096 0.112636 5.41592 0.0635969 15.1174 0.144466 5.44658 0.0290443
16 14.9041 0.105502 5.42507 0.0601875 15.144 0.137732 5.42975 0.0319551
17 14.9542 0.11104 5.42137 0.0566566 15.1386 0.129487 5.43648 0.030765
18 14.9373 0.106051 5.41708 0.0535889 15.1147 0.124413 5.44253 0.029627
19 14.9244 0.101139 5.42173 0.050905 15.0953 0.11927 5.45202 0.0295876
20 14.8952 0.100286 5.42614 0.0484918 15.0703 0.115882 5.45964 0.0290854
21 14.8927 0.0954245 5.43922 0.0479439 15.052 0.111737 5.45506 0.0280458
22 14.8858 0.0912477 5.44715 0.0463948 15.0193 0.111429 5.4561 0.026759
23 14.862 0.0903784 5.45561 0.0451339 15.0194 0.106474 5.46097 0.0260261
