#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1        4.417317e-02        4.417317e-02        0.000000e+00
                   2        4.419854e-02        4.418585e-02        8.968932e-06
                   3        4.409854e-02        4.415675e-02        2.450334e-05
                   4        4.411501e-02        4.414631e-02        2.047973e-05
                   5        4.440910e-02        4.419887e-02        4.978117e-05
                   6        4.436780e-02        4.422703e-02        4.880100e-05
                   7        4.473191e-02        4.429915e-02        7.879578e-05
                   8        4.452897e-02        4.432788e-02        7.399782e-05
                   9        4.439461e-02        4.433529e-02        6.614629e-05
                  10        4.396348e-02        4.429811e-02        6.919714e-05
                  11        4.443184e-02        4.431027e-02        6.396553e-05
                  12        4.441637e-02        4.431911e-02        5.924302e-05
                  13        4.420110e-02        4.431003e-02        5.537695e-05
                  14        4.476263e-02        4.434236e-02        6.012175e-05
                  15        4.507268e-02        4.439105e-02        7.322042e-05
                  16        4.523067e-02        4.444353e-02        8.540280e-05
                  17        4.406892e-02        4.442149e-02        8.317335e-05
                  18        4.457691e-02        4.443013e-02        7.899951e-05
                  19        4.496541e-02        4.445830e-02        7.970700e-05
                  20        4.447808e-02        4.445929e-02        7.572779e-05
