#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1        1.439226e+00        1.439226e+00        0.000000e+00
                   2        1.441559e+00        1.440392e+00        8.246665e-04
                   3        1.439610e+00        1.440131e+00        5.896027e-04
                   4        1.432982e+00        1.438344e+00        1.609804e-03
                   5        1.439343e+00        1.438544e+00        1.300189e-03
                   6        1.438596e+00        1.438553e+00        1.083520e-03
                   7        1.440301e+00        1.438802e+00        9.570740e-04
                   8        1.436305e+00        1.438490e+00        8.868857e-04
                   9        1.440761e+00        1.438742e+00        8.234501e-04
                  10        1.440126e+00        1.438881e+00        7.526342e-04
                  11        1.437434e+00        1.438749e+00        6.956117e-04
                  12        1.438988e+00        1.438769e+00        6.379279e-04
                  13        1.440935e+00        1.438936e+00        6.102251e-04
                  14        1.443393e+00        1.439254e+00        6.443762e-04
                  15        1.440959e+00        1.439368e+00        6.113544e-04
                  16        1.441481e+00        1.439500e+00        5.872367e-04
                  17        1.439315e+00        1.439489e+00        5.527936e-04
                  18        1.437947e+00        1.439403e+00        5.286796e-04
                  19        1.436520e+00        1.439252e+00        5.221784e-04
                  20        1.437397e+00        1.439159e+00        5.042325e-04
