#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1           -0.408912           -0.408912                   0
                   2           -0.406579           -0.407746         0.000824667
                   3           -0.408528           -0.408007         0.000589603
                   4           -0.415156           -0.409794           0.0016098
                   5           -0.408795           -0.409594          0.00130019
                   6           -0.409542           -0.409585          0.00108352
                   7           -0.407837           -0.409336         0.000957074
                   8           -0.411833           -0.409648         0.000886886
                   9           -0.407377           -0.409396          0.00082345
                  10           -0.408012           -0.409257         0.000752634
                  11           -0.410704           -0.409389         0.000695612
                  12            -0.40915           -0.409369         0.000637928
                  13           -0.407203           -0.409202         0.000610225
                  14           -0.404745           -0.408884         0.000644376
                  15           -0.407179            -0.40877         0.000611354
                  16           -0.406657           -0.408638         0.000587237
                  17           -0.408823           -0.408649         0.000552794
                  18           -0.410191           -0.408735          0.00052868
                  19           -0.411618           -0.408886         0.000522178
                  20           -0.410741           -0.408979         0.000504233
