1 0.994489 0 1.00142 0 0.998242 0
2 0.978481 0.0160096 1.01028 0.00886383 0.996627 0.0016392
3 0.975069 0.00985271 1.00674 0.00622579 0.997953 0.00163527
4 0.958643 0.0178417 1.0011 0.00715666 0.998865 0.00146741
5 0.94854 0.0171203 0.998757 0.0060151 0.999391 0.00125548
6 0.956928 0.0163032 1.00049 0.00520653 0.99798 0.0017488
7 0.963303 0.0151817 0.995057 0.00699187 0.998317 0.00151644
8 0.982686 0.0234214 0.995902 0.00611418 0.99846 0.00132516
9 0.987197 0.0211423 0.998199 0.00586293 0.999454 0.00153684
10 0.981653 0.0197064 0.997962 0.00524844 0.998108 0.00192231
11 0.980113 0.0178916 0.998102 0.00474887 0.998856 0.00189277
12 0.982007 0.0164424 0.997089 0.00445259 0.999236 0.00176852
13 0.984299 0.0152973 0.997066 0.00409533 0.998785 0.00169035
14 0.985201 0.014191 0.999793 0.00467033 0.998913 0.00157229
15 0.98149 0.0137226 0.999051 0.00441092 0.998988 0.00146457
16 0.97717 0.0135433 0.999734 0.00418178 0.999438 0.00144257
17 0.977531 0.0127269 0.999491 0.00393649 1.00001 0.00146992
18 0.981859 0.0127555 0.999379 0.00371275 0.999864 0.00139205
19 0.98847 0.0137581 0.998884 0.0035464 0.999608 0.00134144
20 0.991294 0.0133539 0.998442 0.0033946 0.999879 0.00130125
21 0.989186 0.0128759 0.998 0.00325856 1.00021 0.00127946
22 0.990278 0.0123252 0.997849 0.00311167 1.00061 0.00128059
23 0.993702 0.0122647 0.998032 0.00297878 1.00064 0.00122633
24 0.990727 0.0121136 0.99745 0.00291189 1.00047 0.00118555
25 0.989646 0.0116689 0.996563 0.00293045 1.00065 0.00115486
26 0.988166 0.0113084 0.996451 0.00281795 1.00038 0.00114053
27 0.988672 0.0108934 0.997016 0.00276902 1.00032 0.00110052
28 0.989897 0.0105681 0.997118 0.00267057 1.00026 0.00106199
29 0.990516 0.0102158 0.996747 0.00260324 1.00021 0.00102469
30 0.989814 0.00989424 0.997214 0.00255768 1.00038 0.00100715
31 0.986776 0.0100403 0.997466 0.00248666 1.00028 0.000979254
32 0.985328 0.00982884 0.99776 0.00242553 1.00009 0.000968532
33 0.98631 0.00957685 0.997215 0.00241333 0.999955 0.00094945
34 0.987225 0.00933607 0.997147 0.00234226 0.999889 0.000925078
35 0.987279 0.00906565 0.996843 0.0022936 1.00011 0.000926638
36 0.986736 0.00882698 0.997118 0.00224695 1.00009 0.00090023
37 0.987377 0.00860929 0.997923 0.00232954 1.00021 0.000881449
38 0.985515 0.00858411 0.998328 0.00230326 1.00032 0.000868582
39 0.985322 0.00836342 0.998088 0.00225667 1.0003 0.00084249
40 0.986502 0.00823637 0.998408 0.00222199 1.00023 0.000822936
41 0.985776 0.00806557 0.998378 0.00216787 1.00011 0.000813204
42 0.986002 0.00787429 0.998524 0.00211996 1.00032 0.000819787
43 0.986024 0.00768917 0.999312 0.0022153 1.00034 0.000801001
44 0.987883 0.00773902 0.999152 0.00217058 1.00031 0.00078133
45 0.988889 0.00763163 0.998996 0.00212713 1.00033 0.000766887
46 0.988883 0.00746399 0.998884 0.00208343 1.00031 0.000747999
47 0.988525 0.00731216 0.99902 0.00204354 1.00043 0.000743729
48 0.991431 0.00772559 0.998778 0.0020148 1.00049 0.000728102
49 0.992347 0.00762153 0.998863 0.00197503 1.00055 0.00071781
50 0.9921 0.00747163 0.999007 0.00194046 1.00058 0.000703094
51 0.992283 0.00732601 0.999322 0.00192741 1.00073 0.000705176
52 0.993177 0.00723908 0.999403 0.00189204 1.00067 0.000694367
53 0.992852 0.00710873 0.999665 0.00187348 1.00061 0.000681906
54 0.99423 0.00711079 0.999686 0.00183844 1.00056 0.00067298
55 0.996331 0.00728949 0.999282 0.0018496 1.00058 0.000661366
56 0.995551 0.00720044 0.99915 0.0018216 1.00075 0.000670326
57 0.993819 0.00728217 0.998824 0.00181875 1.00073 0.000656587
58 0.994326 0.00717339 0.999107 0.00180962 1.00061 0.000657801
59 0.995823 0.00720791 0.999061 0.00177974 1.00069 0.000650688
60 0.995876 0.00708705 0.998794 0.00176986 1.00068 0.000640687
61 0.995157 0.00700698 0.998735 0.00174185 1.00056 0.000641942
62 0.996 0.00694447 0.998741 0.0017131 1.00049 0.000632962
63 0.996086 0.00683383 0.999068 0.00171725 1.00036 0.000635306
64 0.995592 0.00674426 0.999208 0.00169633 1.00029 0.000632286
65 0.995931 0.00664816 0.999454 0.00168787 1.00041 0.000630781
66 0.995365 0.00657115 0.999699 0.00167962 1.00051 0.000633448
67 0.994184 0.00657942 1.00001 0.00168289 1.00062 0.00063433
68 0.994837 0.00651481 0.999902 0.00166223 1.00073 0.000634861
69 0.995124 0.00642616 1.00003 0.00164255 1.0006 0.000639071
70 0.994884 0.00633818 1.00011 0.00162046 1.0006 0.000630379
71 0.994476 0.00626177 1.00038 0.00161987 1.00058 0.000621935
72 0.992688 0.00642795 1.0003 0.00159924 1.00059 0.000613322
73 0.993073 0.00635092 1.00043 0.00158295 1.00071 0.000612736
74 0.993355 0.00627086 1.00042 0.00156172 1.00072 0.000605715
75 0.993187 0.00618891 1.00079 0.00158663 1.0006 0.000611363
76 0.993764 0.0061342 1.00058 0.00158029 1.00053 0.000605446
77 0.993856 0.00605467 1.00027 0.00159082 1.00059 0.000602026
78 0.993641 0.00598018 1.00028 0.00157011 1.00062 0.000593773
79 0.993117 0.00592739 1.0005 0.00156711 1.00058 0.000586653
80 0.994025 0.00592278 1.00056 0.00154769 1.00072 0.000595093
