#                  BLOCK:   ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -7.52104            -7.52104                   0
                   2            -7.52543            -7.52323          0.00155397
                   3            -7.52024            -7.52224          0.00131755
                   4            -7.52499            -7.52292           0.0011539
                   5            -7.52717            -7.52377          0.00119549
                   6            -7.52478            -7.52394          0.00100805
                   7            -7.51598             -7.5228          0.00136204
                   8            -7.51966            -7.52241          0.00124709
                   9            -7.52447            -7.52264          0.00112926
                  10            -7.52693            -7.52307          0.00109493
                  11            -7.52198            -7.52297         0.000999845
                  12            -7.52703            -7.52331         0.000972062
                  13             -7.5263            -7.52354         0.000924173
                  14            -7.51941            -7.52324         0.000903958
                  15            -7.52915            -7.52364         0.000925578
                  16             -7.5246             -7.5237         0.000869661
                  17            -7.52037             -7.5235         0.000840194
                  18             -7.5238            -7.52352         0.000793678
                  19            -7.52216            -7.52345         0.000755101
                  20            -7.52313            -7.52343         0.000717517
