#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        7.975381e-01        7.975381e-01        0.000000e+00
                   2        8.012978e-01        7.994179e-01        1.329256e-03
                   3        7.977249e-01        7.988536e-01        9.988075e-04
                   4        8.009298e-01        7.993727e-01        8.736303e-04
                   5        8.017825e-01        7.998546e-01        8.211629e-04
                   6        8.003597e-01        7.999388e-01        6.886039e-04
                   7        7.949489e-01        7.992260e-01        8.853970e-04
                   8        7.969640e-01        7.989432e-01        8.186259e-04
                   9        8.008243e-01        7.991522e-01        7.538768e-04
                  10        8.016849e-01        7.994055e-01        7.197771e-04
                  11        7.992930e-01        7.993953e-01        6.544155e-04
                  12        8.024204e-01        7.996474e-01        6.466152e-04
                  13        8.019692e-01        7.998260e-01        6.210524e-04
                  14        7.976312e-01        7.996692e-01        5.961500e-04
                  15        8.042170e-01        7.999724e-01        6.287958e-04
                  16        8.005397e-01        8.000078e-01        5.904950e-04
                  17        7.977121e-01        7.998728e-01        5.709930e-04
                  18        8.002635e-01        7.998945e-01        5.396836e-04
                  19        7.988938e-01        7.998418e-01        5.138426e-04
                  20        7.999750e-01        7.998485e-01        4.881936e-04
