#                  BLOCK:   ACTUAL_TE:          TE_AVE:             ERROR:
                   1       -6.324728e+00       -6.324728e+00        0.000000e+00
                   2       -6.323484e+00       -6.324106e+00        4.399138e-04
                   3       -6.323655e+00       -6.323956e+00        3.179806e-04
                   4       -6.323593e+00       -6.323865e+00        2.510550e-04
                   5       -6.324497e+00       -6.323991e+00        2.304470e-04
                   6       -6.324245e+00       -6.324033e+00        1.958682e-04
                   7       -6.323558e+00       -6.323965e+00        1.793000e-04
                   8       -6.324218e+00       -6.323997e+00        1.596322e-04
                   9       -6.323232e+00       -6.323912e+00        1.629627e-04
                  10       -6.324407e+00       -6.323961e+00        1.539922e-04
                  11       -6.323043e+00       -6.323878e+00        1.610621e-04
                  12       -6.323399e+00       -6.323838e+00        1.524959e-04
                  13       -6.323350e+00       -6.323800e+00        1.453219e-04
                  14       -6.322965e+00       -6.323741e+00        1.466718e-04
                  15       -6.322829e+00       -6.323680e+00        1.489634e-04
                  16       -6.323786e+00       -6.323687e+00        1.398010e-04
                  17       -6.323807e+00       -6.323694e+00        1.317552e-04
                  18       -6.323404e+00       -6.323678e+00        1.254136e-04
                  19       -6.323824e+00       -6.323685e+00        1.190490e-04
                  20       -6.323164e+00       -6.323659e+00        1.159113e-04
