#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1             1.19631             1.19631                   0
                   2             1.20195             1.19913          0.00199388
                   3             1.19659             1.19828          0.00149821
                   4             1.20139             1.19906          0.00131045
                   5             1.20267             1.19978          0.00123174
                   6             1.20054             1.19991          0.00103291
                   7             1.19242             1.19884           0.0013281
                   8             1.19545             1.19841          0.00122794
                   9             1.20124             1.19873          0.00113082
                  10             1.20253             1.19911          0.00107967
                  11             1.19894             1.19909         0.000981623
                  12             1.20363             1.19947         0.000969923
                  13             1.20295             1.19974         0.000931579
                  14             1.19645              1.1995         0.000894225
                  15             1.20633             1.19996         0.000943194
                  16             1.20081             1.20001         0.000885743
                  17             1.19657             1.19981         0.000856489
                  18              1.2004             1.19984         0.000809525
                  19             1.19834             1.19976         0.000770764
                  20             1.19996             1.19977          0.00073229
