#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        1.095897e+00        1.095897e+00        0.000000e+00
                   2        1.100229e+00        1.098063e+00        1.531454e-03
                   3        1.073446e+00        1.089857e+00        6.777257e-03
                   4        1.120427e+00        1.097500e+00        8.345116e-03
                   5        1.102704e+00        1.098540e+00        6.740698e-03
                   6        1.120904e+00        1.102268e+00        6.567372e-03
                   7        1.101131e+00        1.102105e+00        5.631183e-03
                   8        1.088494e+00        1.100404e+00        5.177962e-03
                   9        1.103111e+00        1.100705e+00        4.611360e-03
                  10        1.112720e+00        1.101906e+00        4.303908e-03
                  11        1.112079e+00        1.102831e+00        4.010767e-03
                  12        1.105267e+00        1.103034e+00        3.681669e-03
                  13        1.113279e+00        1.103822e+00        3.481785e-03
                  14        1.078668e+00        1.102025e+00        3.667494e-03
                  15        1.073054e+00        1.100094e+00        3.898538e-03
                  16        1.135185e+00        1.102287e+00        4.227003e-03
                  17        1.083318e+00        1.101171e+00        4.123002e-03
                  18        1.087198e+00        1.100395e+00        3.966350e-03
                  19        1.066998e+00        1.098637e+00        4.128743e-03
                  20        1.100280e+00        1.098719e+00        3.923122e-03
                  21        1.124650e+00        1.099954e+00        3.925829e-03
                  22        1.086627e+00        1.099348e+00        3.793831e-03
                  23        1.102749e+00        1.099496e+00        3.631761e-03
                  24        1.107083e+00        1.099812e+00        3.494169e-03
                  25        1.072929e+00        1.098737e+00        3.515981e-03
                  26        1.095340e+00        1.098606e+00        3.383178e-03
                  27        1.085403e+00        1.098117e+00        3.293024e-03
                  28        1.067762e+00        1.097033e+00        3.349121e-03
                  29        1.114800e+00        1.097646e+00        3.289192e-03
                  30        1.118341e+00        1.098336e+00        3.251084e-03
                  31        1.097835e+00        1.098319e+00        3.146251e-03
                  32        1.101027e+00        1.098404e+00        3.049068e-03
                  33        1.093435e+00        1.098254e+00        2.960389e-03
                  34        1.096314e+00        1.098196e+00        2.873868e-03
                  35        1.086770e+00        1.097870e+00        2.810238e-03
                  36        1.107251e+00        1.098131e+00        2.744231e-03
                  37        1.089902e+00        1.097908e+00        2.679060e-03
                  38        1.091549e+00        1.097741e+00        2.613780e-03
                  39        1.103145e+00        1.097879e+00        2.550430e-03
                  40        1.111009e+00        1.098208e+00        2.507703e-03
                  41        1.111120e+00        1.098523e+00        2.466235e-03
                  42        1.118566e+00        1.099000e+00        2.453251e-03
                  43        1.128578e+00        1.099688e+00        2.490769e-03
                  44        1.093974e+00        1.099558e+00        2.437542e-03
                  45        1.112310e+00        1.099841e+00        2.399792e-03
                  46        1.079829e+00        1.099406e+00        2.386730e-03
                  47        1.107835e+00        1.099585e+00        2.342677e-03
                  48        1.107001e+00        1.099740e+00        2.298960e-03
                  49        1.094490e+00        1.099633e+00        2.254537e-03
                  50        1.088382e+00        1.099408e+00        2.220648e-03
