#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                 114        4.430180e-02        4.431394e-02        5.146050e-07
                 115        4.430147e-02        4.431383e-02        5.214322e-07
                 116        4.430114e-02        4.431372e-02        5.282898e-07
                 117        4.430081e-02        4.431361e-02        5.351779e-07
                 118        4.430048e-02        4.431350e-02        5.420962e-07
                 119        4.430014e-02        4.431339e-02        5.490447e-07
                 120        4.429980e-02        4.431328e-02        5.560232e-07
                 121        4.429922e-02        4.431316e-02        5.634296e-07
                 122        4.429888e-02        4.431304e-02        5.708468e-07
                 123        4.429853e-02        4.431293e-02        5.782757e-07
                 124        4.429794e-02        4.431281e-02        5.861054e-07
                 125        4.429759e-02        4.431268e-02        5.939298e-07
                 126        4.429723e-02        4.431256e-02        6.017505e-07
                 127        4.429663e-02        4.431244e-02        6.099481e-07
                 128        4.429627e-02        4.431231e-02        6.181269e-07
                 129        4.429590e-02        4.431218e-02        6.262895e-07
                 130        4.429553e-02        4.431205e-02        6.344380e-07
                 131        4.429516e-02        4.431192e-02        6.425745e-07
                 132        4.429478e-02        4.431180e-02        6.507010e-07
                 133        4.429440e-02        4.431166e-02        6.588194e-07
                 134        4.429402e-02        4.431153e-02        6.669312e-07
                 135        4.429340e-02        4.431140e-02        6.753831e-07
                 136        4.429301e-02        4.431126e-02        6.838161e-07
                 137        4.429262e-02        4.431113e-02        6.922326e-07
                 138        4.429223e-02        4.431099e-02        7.006346e-07
                 139        4.429159e-02        4.431085e-02        7.093555e-07
                 140        4.429119e-02        4.431071e-02        7.180511e-07
                 141        4.429079e-02        4.431057e-02        7.267240e-07
                 142        4.429015e-02        4.431042e-02        7.356985e-07
                 143        4.428974e-02        4.431028e-02        7.446407e-07
                 144        4.428933e-02        4.431013e-02        7.535535e-07
                 145        4.428891e-02        4.430999e-02        7.624394e-07
                 146        4.428849e-02        4.430984e-02        7.713009e-07
                 147        4.428807e-02        4.430969e-02        7.801404e-07
                 148        4.428765e-02        4.430954e-02        7.889600e-07
                 149        4.428722e-02        4.430939e-02        7.977620e-07
                 150        4.428679e-02        4.430924e-02        8.065482e-07
                 151        4.428636e-02        4.430909e-02        8.153205e-07
                 152        4.428592e-02        4.430894e-02        8.240807e-07
                 153        4.428549e-02        4.430879e-02        8.328306e-07
                 154        4.428481e-02        4.430863e-02        8.418531e-07
                 155        4.428436e-02        4.430847e-02        8.508573e-07
                 156        4.428391e-02        4.430832e-02        8.598449e-07
                 157        4.428323e-02        4.430816e-02        8.690924e-07
                 158        4.428254e-02        4.430799e-02        8.785903e-07
                 159        4.428208e-02        4.430783e-02        8.880559e-07
                 160        4.428138e-02        4.430767e-02        8.977617e-07
                 161        4.428092e-02        4.430750e-02        9.074296e-07
