#                  BLOCK:   ACTUAL_KE:          KE_AVE:             ERROR:
                   1               2.979               2.979                   0
                   2             2.97897             2.97899         9.48969e-06
                   3             2.97889             2.97896         2.63175e-05
                   4             2.97876             2.97891         4.69002e-05
                   5             2.97857             2.97884         7.06638e-05
                   6             2.97833             2.97875         9.72357e-05
                   7             2.97804             2.97865         0.000126355
                   8             2.97769             2.97853         0.000157827
                   9             2.97729             2.97839         0.000191503
                  10             2.97683             2.97824         0.000227263
                  11             2.97632             2.97806         0.000265011
                  12             2.97576             2.97787         0.000304668
                  13             2.97514             2.97766         0.000346171
                  14             2.97447             2.97743         0.000389465
                  15             2.97374             2.97719         0.000434507
                  16             2.97295             2.97692         0.000481261
                  17             2.97211             2.97664         0.000529698
                  18             2.97121             2.97634         0.000579793
                  19             2.97025             2.97602         0.000631529
                  20             2.96924             2.97568         0.000684891
                  21             2.96816             2.97532         0.000739869
                  22             2.96703             2.97494         0.000796457
                  23             2.96583             2.97455         0.000854652
                  24             2.96458             2.97413         0.000914452
                  25             2.96326              2.9737         0.000975862
                  26             2.96187             2.97324          0.00103887
                  27             2.96043             2.97277          0.00110348
                  28             2.95892             2.97227           0.0011697
                  29             2.95734             2.97176          0.00123753
                  30             2.95569             2.97122          0.00130701
                  31             2.95398             2.97067          0.00137814
                  32             2.95219             2.97009          0.00145093
                  33             2.95034             2.96949          0.00152538
                  34             2.94841             2.96887          0.00160153
                  35             2.94641             2.96823          0.00167939
                  36             2.94434             2.96757          0.00175897
                  37             2.94219             2.96688           0.0018403
                  38             2.93996             2.96617          0.00192341
                  39             2.93765             2.96544          0.00200834
                  40             2.93525             2.96468          0.00209511
                  41             2.93278             2.96391          0.00218375
                  42             2.93022              2.9631           0.0022743
                  43             2.92757             2.96228          0.00236678
                  44             2.92483             2.96143          0.00246123
                  45             2.92201             2.96055          0.00255769
                  46             2.91909             2.95965          0.00265618
                  47             2.91607             2.95872          0.00275675
                  48             2.91296             2.95777          0.00285941
                  49             2.90975             2.95679          0.00296422
                  50             2.90644             2.95578          0.00307121
                  51             2.90303             2.95475          0.00318042
                  52             2.89951             2.95369          0.00329189
                  53             2.89588              2.9526          0.00340566
                  54             2.89215             2.95148          0.00352177
                  55              2.8883             2.95033          0.00364027
                  56             2.88433             2.94915          0.00376119
                  57             2.88025             2.94794          0.00388459
                  58             2.87605              2.9467           0.0040105
                  59             2.87173             2.94543          0.00413895
                  60             2.86728             2.94413          0.00426999
                  61             2.86271             2.94279          0.00440366
                  62               2.858             2.94142          0.00454002
                  63             2.85317             2.94002           0.0046791
                  64              2.8482             2.93859          0.00482094
                  65             2.84309             2.93712          0.00496561
                  66             2.83784             2.93562          0.00511314
                  67             2.83245             2.93408          0.00526358
                  68             2.82691              2.9325          0.00541698
                  69             2.82122             2.93089           0.0055734
                  70             2.81537             2.92924          0.00573287
                  71             2.80938             2.92755          0.00589545
                  72             2.80322             2.92582          0.00606118
                  73             2.79691             2.92406           0.0062301
                  74             2.79043             2.92225          0.00640226
                  75             2.78379              2.9204          0.00657769
                  76             2.77698             2.91852          0.00675643
                  77                2.77             2.91659          0.00693852
                  78             2.76285             2.91462            0.007124
                  79             2.75553              2.9126          0.00731291
                  80             2.74803             2.91055          0.00750527
                  81             2.74035             2.90844          0.00770113
                  82             2.73249              2.9063          0.00790051
                  83             2.72444             2.90411          0.00810345
                  84             2.71621             2.90187          0.00830997
                  85              2.7078             2.89959          0.00852011
                  86             2.69919             2.89726          0.00873386
                  87              2.6904             2.89488          0.00895127
                  88             2.68142             2.89245          0.00917235
                  89             2.67224             2.88998           0.0093971
                  90             2.66287             2.88746          0.00962555
                  91             2.65331             2.88488          0.00985769
                  92             2.64355             2.88226           0.0100935
                  93              2.6336             2.87959           0.0103331
                  94             2.62345             2.87686           0.0105763
                  95             2.61312             2.87409           0.0108232
                  96             2.60259             2.87126           0.0110738
                  97             2.59186             2.86838           0.0113281
                  98             2.58095             2.86544           0.0115859
                  99             2.56985             2.86246           0.0118474
                 100             2.55856             2.85942           0.0121124
                 101             2.54709             2.85633           0.0123809
                 102             2.53543             2.85318            0.012653
                 103              2.5236             2.84998           0.0129284
                 104             2.51159             2.84673           0.0132072
                 105              2.4994             2.84342           0.0134893
                 106             2.48705             2.84006           0.0137746
                 107             2.47453             2.83664           0.0140631
                 108             2.46185             2.83317           0.0143547
                 109             2.44901             2.82965           0.0146493
                 110             2.43603             2.82607           0.0149468
                 111              2.4229             2.82244            0.015247
                 112             2.40963             2.81875             0.01555
                 113             2.39623             2.81501           0.0158556
                 114              2.3827             2.81122           0.0161637
                 115             2.36905             2.80737           0.0164741
                 116             2.35529             2.80348           0.0167867
                 117             2.34142             2.79953           0.0171015
                 118             2.32746             2.79553           0.0174182
                 119              2.3134             2.79148           0.0177368
                 120             2.29926             2.78737            0.018057
                 121             2.28505             2.78322           0.0183788
                 122             2.27076             2.77902            0.018702
                 123             2.25642             2.77477           0.0190265
                 124             2.24203             2.77048            0.019352
                 125              2.2276             2.76613           0.0196785
                 126             2.21313             2.76174           0.0200058
                 127             2.19863             2.75731           0.0203337
                 128             2.18412             2.75283            0.020662
                 129              2.1696             2.74831           0.0209907
                 130             2.15508             2.74375           0.0213195
                 131             2.14056             2.73914           0.0216483
                 132             2.12606              2.7345           0.0219768
                 133             2.11159             2.72982           0.0223051
                 134             2.09714             2.72509           0.0226328
                 135             2.08274             2.72034           0.0229599
                 136             2.06838             2.71554           0.0232861
                 137             2.05408             2.71071           0.0236114
                 138             2.03984             2.70585           0.0239355
                 139             2.02568             2.70096           0.0242584
                 140             2.01159             2.69604           0.0245798
                 141             1.99758             2.69108           0.0248996
                 142             1.98367              2.6861           0.0252177
                 143             1.96986             2.68109           0.0255339
                 144             1.95615             2.67606           0.0258481
                 145             1.94256               2.671           0.0261601
                 146             1.92908             2.66592           0.0264699
                 147             1.91574             2.66081           0.0267773
                 148             1.90252             2.65569           0.0270821
                 149             1.88945             2.65055           0.0273842
                 150             1.87652             2.64539           0.0276836
                 151             1.86374             2.64021             0.02798
                 152             1.85113             2.63502           0.0282734
                 153             1.83867             2.62981           0.0285637
                 154             1.82639              2.6246           0.0288507
                 155             1.81429             2.61937           0.0291344
                 156             1.80237             2.61413           0.0294146
                 157             1.79064             2.60889           0.0296912
                 158              1.7791             2.60364           0.0299642
                 159             1.76777             2.59838           0.0302333
                 160             1.75664             2.59312           0.0304987
                 161             1.74573             2.58785             0.03076
                 162             1.73503             2.58259           0.0310174
                 163             1.72456             2.57733           0.0312706
                 164             1.71432             2.57206           0.0315195
                 165             1.70432              2.5668           0.0317642
                 166             1.69455             2.56155           0.0320045
                 167             1.68503              2.5563           0.0322404
                 168             1.67576             2.55106           0.0324717
                 169             1.66675             2.54583           0.0326985
                 170               1.658              2.5406           0.0329205
                 171             1.64952             2.53539           0.0331379
                 172              1.6413              2.5302           0.0333504
                 173             1.63337             2.52501           0.0335581
                 174             1.62571             2.51984           0.0337609
                 175             1.61833             2.51469           0.0339588
                 176             1.61124             2.50956           0.0341516
                 177             1.60443             2.50444           0.0343394
                 178             1.59792             2.49935            0.034522
                 179              1.5917             2.49428           0.0346996
                 180             1.58578             2.48923           0.0348719
                 181             1.58016             2.48421           0.0350391
                 182             1.57483             2.47921            0.035201
                 183             1.56981             2.47425           0.0353577
                 184             1.56509              2.4693           0.0355091
                 185             1.56067             2.46439           0.0356552
                 186             1.55655             2.45951           0.0357961
                 187             1.55273             2.45466           0.0359316
                 188             1.54921             2.44985           0.0360618
                 189             1.54598             2.44506           0.0361867
                 190             1.54304             2.44032           0.0363063
                 191             1.54039             2.43561           0.0364207
                 192             1.53802             2.43093           0.0365298
                 193             1.53594             2.42629           0.0366337
                 194             1.53412             2.42169           0.0367324
                 195             1.53258             2.41713           0.0368259
                 196              1.5313             2.41262           0.0369143
                 197             1.53027             2.40814           0.0369977
                 198             1.52949              2.4037            0.037076
                 199             1.52895              2.3993           0.0371493
                 200             1.52864             2.39495           0.0372178
                 201             1.52856             2.39064           0.0372814
                 202             1.52869             2.38637           0.0373402
                 203             1.52902             2.38215           0.0373944
                 204             1.52955             2.37797           0.0374439
                 205             1.53026             2.37383           0.0374889
                 206             1.53114             2.36974           0.0375294
                 207              1.5322              2.3657           0.0375656
                 208              1.5334              2.3617           0.0375975
