#                  BLOCK:   ACTUAL_P:           P_AVE:              ERROR:
                   1       -4.620167e+00       -4.620167e+00        0.000000e+00
                   2       -4.619973e+00       -4.620070e+00        6.858484e-05
                   3       -4.619391e+00       -4.619843e+00        1.901992e-04
                   4       -4.618423e+00       -4.619488e+00        3.389948e-04
                   5       -4.617069e+00       -4.619004e+00        5.108047e-04
                   6       -4.615328e+00       -4.618392e+00        7.029047e-04
                   7       -4.613201e+00       -4.617650e+00        9.133657e-04
                   8       -4.610689e+00       -4.616780e+00        1.140733e-03
                   9       -4.607790e+00       -4.615781e+00        1.383862e-03
                  10       -4.604505e+00       -4.614654e+00        1.641827e-03
                  11       -4.600833e+00       -4.613397e+00        1.913861e-03
                  12       -4.596773e+00       -4.612012e+00        2.199318e-03
                  13       -4.592326e+00       -4.610497e+00        2.497648e-03
                  14       -4.587489e+00       -4.608854e+00        2.808378e-03
                  15       -4.582262e+00       -4.607081e+00        3.131096e-03
                  16       -4.576644e+00       -4.605179e+00        3.465443e-03
                  17       -4.570633e+00       -4.603147e+00        3.811103e-03
                  18       -4.564229e+00       -4.600985e+00        4.167799e-03
                  19       -4.557429e+00       -4.598692e+00        4.535286e-03
                  20       -4.550231e+00       -4.596269e+00        4.913345e-03
                  21       -4.542635e+00       -4.593715e+00        5.301785e-03
                  22       -4.534637e+00       -4.591030e+00        5.700436e-03
                  23       -4.526237e+00       -4.588213e+00        6.109146e-03
                  24       -4.517431e+00       -4.585263e+00        6.527783e-03
                  25       -4.508217e+00       -4.582182e+00        6.956229e-03
                  26       -4.498353e+00       -4.578957e+00        7.398236e-03
                  27       -4.488077e+00       -4.575591e+00        7.852685e-03
                  28       -4.477626e+00       -4.572093e+00        8.315221e-03
                  29       -4.466756e+00       -4.568460e+00        8.786081e-03
                  30       -4.455465e+00       -4.564694e+00        9.265442e-03
                  31       -4.443507e+00       -4.560785e+00        9.756451e-03
                  32       -4.430883e+00       -4.556725e+00        1.026138e-02
                  33       -4.418069e+00       -4.552524e+00        1.077638e-02
                  34       -4.405061e+00       -4.548186e+00        1.129855e-02
                  35       -4.390891e+00       -4.543692e+00        1.183583e-02
                  36       -4.376522e+00       -4.539049e+00        1.238453e-02
                  37       -4.362188e+00       -4.534269e+00        1.293944e-02
                  38       -4.347401e+00       -4.529351e+00        1.350107e-02
                  39       -4.331678e+00       -4.524283e+00        1.407418e-02
                  40       -4.315978e+00       -4.519075e+00        1.465413e-02
                  41       -4.299092e+00       -4.513709e+00        1.524736e-02
                  42       -4.282459e+00       -4.508203e+00        1.584730e-02
                  43       -4.265111e+00       -4.502550e+00        1.645626e-02
                  44       -4.246805e+00       -4.496738e+00        1.707791e-02
                  45       -4.228497e+00       -4.490777e+00        1.770818e-02
                  46       -4.209700e+00       -4.484666e+00        1.834717e-02
                  47       -4.189927e+00       -4.478395e+00        1.899832e-02
                  48       -4.169657e+00       -4.471963e+00        1.966121e-02
                  49       -4.149363e+00       -4.465380e+00        2.033240e-02
                  50       -4.128078e+00       -4.458634e+00        2.101510e-02
                  51       -4.106518e+00       -4.451729e+00        2.170758e-02
                  52       -4.084677e+00       -4.444671e+00        2.240840e-02
                  53       -4.061826e+00       -4.437447e+00        2.312057e-02
                  54       -4.038443e+00       -4.430058e+00        2.384390e-02
                  55       -4.015001e+00       -4.422512e+00        2.457559e-02
                  56       -3.990772e+00       -4.414802e+00        2.531718e-02
                  57       -3.965510e+00       -4.406920e+00        2.607121e-02
                  58       -3.939932e+00       -4.398868e+00        2.683619e-02
                  59       -3.914272e+00       -4.390655e+00        2.760965e-02
                  60       -3.887560e+00       -4.382270e+00        2.839419e-02
                  61       -3.860030e+00       -4.373709e+00        2.919088e-02
                  62       -3.832158e+00       -4.364974e+00        2.999843e-02
                  63       -3.804178e+00       -4.356072e+00        3.081466e-02
