#                  BLOCK:   ACTUAL_T:           T_AVE:              ERROR:
                   1        1.986000e+00        1.986000e+00        0.000000e+00
                   2        1.985982e+00        1.985991e+00        6.326451e-06
                   3        1.985928e+00        1.985970e+00        1.754500e-05
                   4        1.985839e+00        1.985937e+00        3.126679e-05
                   5        1.985714e+00        1.985893e+00        4.710917e-05
                   6        1.985554e+00        1.985836e+00        6.482379e-05
                   7        1.985358e+00        1.985768e+00        8.423665e-05
                   8        1.985126e+00        1.985688e+00        1.052183e-04
                   9        1.984858e+00        1.985595e+00        1.276687e-04
                  10        1.984555e+00        1.985491e+00        1.515086e-04
                  11        1.984215e+00        1.985375e+00        1.766738e-04
                  12        1.983839e+00        1.985247e+00        2.031120e-04
                  13        1.983427e+00        1.985107e+00        2.307804e-04
                  14        1.982977e+00        1.984955e+00        2.596433e-04
                  15        1.982491e+00        1.984791e+00        2.896714e-04
                  16        1.981968e+00        1.984614e+00        3.208408e-04
                  17        1.981406e+00        1.984426e+00        3.531319e-04
                  18        1.980807e+00        1.984225e+00        3.865288e-04
                  19        1.980169e+00        1.984011e+00        4.210193e-04
                  20        1.979492e+00        1.983785e+00        4.565940e-04
                  21        1.978776e+00        1.983547e+00        4.932462e-04
                  22        1.978019e+00        1.983295e+00        5.309715e-04
                  23        1.977222e+00        1.983031e+00        5.697678e-04
                  24        1.976384e+00        1.982754e+00        6.096349e-04
                  25        1.975505e+00        1.982464e+00        6.505745e-04
                  26        1.974583e+00        1.982161e+00        6.925833e-04
                  27        1.973619e+00        1.981845e+00        7.356559e-04
                  28        1.972612e+00        1.981515e+00        7.797975e-04
                  29        1.971560e+00        1.981172e+00        8.250207e-04
                  30        1.970462e+00        1.980815e+00        8.713381e-04
                  31        1.969319e+00        1.980444e+00        9.187587e-04
                  32        1.968130e+00        1.980059e+00        9.672849e-04
                  33        1.966894e+00        1.979660e+00        1.016923e-03
                  34        1.965609e+00        1.979247e+00        1.067690e-03
                  35        1.964276e+00        1.978819e+00        1.119596e-03
                  36        1.962893e+00        1.978377e+00        1.172648e-03
                  37        1.961459e+00        1.977920e+00        1.226866e-03
                  38        1.959972e+00        1.977447e+00        1.282274e-03
                  39        1.958432e+00        1.976960e+00        1.338892e-03
                  40        1.956837e+00        1.976457e+00        1.396738e-03
                  41        1.955186e+00        1.975938e+00        1.455834e-03
                  42        1.953479e+00        1.975403e+00        1.516197e-03
                  43        1.951714e+00        1.974852e+00        1.577854e-03
                  44        1.949889e+00        1.974285e+00        1.640823e-03
                  45        1.948005e+00        1.973701e+00        1.705125e-03
                  46        1.946058e+00        1.973100e+00        1.770787e-03
                  47        1.944048e+00        1.972482e+00        1.837830e-03
                  48        1.941974e+00        1.971846e+00        1.906276e-03
                  49        1.939835e+00        1.971193e+00        1.976149e-03
                  50        1.937628e+00        1.970522e+00        2.047476e-03
                  51        1.935352e+00        1.969832e+00        2.120281e-03
                  52        1.933006e+00        1.969124e+00        2.194593e-03
                  53        1.930588e+00        1.968397e+00        2.270440e-03
                  54        1.928097e+00        1.967650e+00        2.347848e-03
                  55        1.925530e+00        1.966885e+00        2.426845e-03
                  56        1.922887e+00        1.966099e+00        2.507463e-03
                  57        1.920166e+00        1.965293e+00        2.589728e-03
                  58        1.917365e+00        1.964467e+00        2.673665e-03
                  59        1.914484e+00        1.963620e+00        2.759299e-03
                  60        1.911520e+00        1.962751e+00        2.846660e-03
                  61        1.908472e+00        1.961861e+00        2.935776e-03
                  62        1.905336e+00        1.960950e+00        3.026679e-03
                  63        1.902113e+00        1.960016e+00        3.119398e-03
                  64        1.898799e+00        1.959059e+00        3.213963e-03
                  65        1.895393e+00        1.958080e+00        3.310405e-03
                  66        1.891894e+00        1.957077e+00        3.408758e-03
                  67        1.888298e+00        1.956050e+00        3.509053e-03
                  68        1.884604e+00        1.955000e+00        3.611323e-03
                  69        1.880811e+00        1.953925e+00        3.715599e-03
                  70        1.876916e+00        1.952824e+00        3.821913e-03
                  71        1.872918e+00        1.951699e+00        3.930299e-03
                  72        1.868814e+00        1.950548e+00        4.040786e-03
                  73        1.864604e+00        1.949371e+00        4.153402e-03
                  74        1.860287e+00        1.948167e+00        4.268173e-03
                  75        1.855860e+00        1.946936e+00        4.385124e-03
                  76        1.851321e+00        1.945678e+00        4.504283e-03
                  77        1.846669e+00        1.944392e+00        4.625678e-03
                  78        1.841902e+00        1.943078e+00        4.749334e-03
                  79        1.837019e+00        1.941736e+00        4.875273e-03
                  80        1.832019e+00        1.940364e+00        5.003516e-03
                  81        1.826899e+00        1.938963e+00        5.134088e-03
                  82        1.821658e+00        1.937533e+00        5.267010e-03
                  83        1.816295e+00        1.936072e+00        5.402301e-03
                  84        1.810809e+00        1.934581e+00        5.539983e-03
                  85        1.805198e+00        1.933059e+00        5.680070e-03
                  86        1.799462e+00        1.931505e+00        5.822576e-03
                  87        1.793600e+00        1.929920e+00        5.967515e-03
                  88        1.787610e+00        1.928303e+00        6.114898e-03
                  89        1.781492e+00        1.926653e+00        6.264734e-03
                  90        1.775246e+00        1.924971e+00        6.417031e-03
                  91        1.768871e+00        1.923256e+00        6.571792e-03
                  92        1.762367e+00        1.921507e+00        6.729019e-03
                  93        1.755733e+00        1.919724e+00        6.888713e-03
                  94        1.748969e+00        1.917908e+00        7.050872e-03
                  95        1.742077e+00        1.916057e+00        7.215488e-03
                  96        1.735057e+00        1.914172e+00        7.382550e-03
                  97        1.727909e+00        1.912251e+00        7.552044e-03
                  98        1.720634e+00        1.910296e+00        7.723954e-03
                  99        1.713233e+00        1.908305e+00        7.898262e-03
                 100        1.705707e+00        1.906280e+00        8.074941e-03
                 101        1.698059e+00        1.904218e+00        8.253966e-03
                 102        1.690289e+00        1.902121e+00        8.435307e-03
                 103        1.682398e+00        1.899987e+00        8.618929e-03
                 104        1.674391e+00        1.897818e+00        8.804795e-03
                 105        1.666267e+00        1.895613e+00        8.992863e-03
                 106        1.658031e+00        1.893372e+00        9.183087e-03
                 107        1.649685e+00        1.891094e+00        9.375419e-03
                 108        1.641232e+00        1.888781e+00        9.569804e-03
                 109        1.632676e+00        1.886431e+00        9.766186e-03
                 110        1.624018e+00        1.884045e+00        9.964504e-03
                 111        1.615264e+00        1.881624e+00        1.016469e-02
                 112        1.606418e+00        1.879167e+00        1.036668e-02
                 113        1.597483e+00        1.876674e+00        1.057040e-02
                 114        1.588465e+00        1.874146e+00        1.077577e-02
                 115        1.579366e+00        1.871583e+00        1.098271e-02
                 116        1.570192e+00        1.868984e+00        1.119114e-02
                 117        1.560948e+00        1.866352e+00        1.140098e-02
                 118        1.551637e+00        1.863685e+00        1.161213e-02
                 119        1.542267e+00        1.860984e+00        1.182450e-02
                 120        1.532841e+00        1.858249e+00        1.203800e-02
                 121        1.523365e+00        1.855481e+00        1.225254e-02
                 122        1.513843e+00        1.852681e+00        1.246801e-02
                 123        1.504282e+00        1.849849e+00        1.268431e-02
                 124        1.494688e+00        1.846984e+00        1.290134e-02
                 125        1.485065e+00        1.844089e+00        1.311900e-02
                 126        1.475418e+00        1.841163e+00        1.333718e-02
                 127        1.465754e+00        1.838207e+00        1.355578e-02
                 128        1.456079e+00        1.835222e+00        1.377469e-02
                 129        1.446399e+00        1.832208e+00        1.399379e-02
                 130        1.436717e+00        1.829165e+00        1.421299e-02
                 131        1.427041e+00        1.826096e+00        1.443217e-02
                 132        1.417375e+00        1.822999e+00        1.465123e-02
                 133        1.407725e+00        1.819877e+00        1.487005e-02
                 134        1.398097e+00        1.816729e+00        1.508854e-02
                 135        1.388494e+00        1.813557e+00        1.530659e-02
                 136        1.378923e+00        1.810361e+00        1.552408e-02
                 137        1.369389e+00        1.807143e+00        1.574092e-02
                 138        1.359896e+00        1.803902e+00        1.595701e-02
                 139        1.350451e+00        1.800639e+00        1.617223e-02
                 140        1.341058e+00        1.797357e+00        1.638650e-02
                 141        1.331722e+00        1.794054e+00        1.659972e-02
                 142        1.322447e+00        1.790733e+00        1.681178e-02
                 143        1.313238e+00        1.787394e+00        1.702259e-02
                 144        1.304101e+00        1.784038e+00        1.723206e-02
                 145        1.295038e+00        1.780665e+00        1.744009e-02
                 146        1.286056e+00        1.777278e+00        1.764661e-02
                 147        1.277158e+00        1.773875e+00        1.785151e-02
                 148        1.268348e+00        1.770460e+00        1.805472e-02
                 149        1.259632e+00        1.767031e+00        1.825615e-02
                 150        1.251013e+00        1.763591e+00        1.845572e-02
                 151        1.242495e+00        1.760140e+00        1.865335e-02
                 152        1.234084e+00        1.756679e+00        1.884896e-02
                 153        1.225782e+00        1.753209e+00        1.904247e-02
                 154        1.217595e+00        1.749731e+00        1.923382e-02
                 155        1.209526e+00        1.746246e+00        1.942292e-02
                 156        1.201579e+00        1.742755e+00        1.960972e-02
                 157        1.193758e+00        1.739258e+00        1.979413e-02
                 158        1.186068e+00        1.735757e+00        1.997610e-02
                 159        1.178512e+00        1.732252e+00        2.015556e-02
                 160        1.171095e+00        1.728745e+00        2.033244e-02
                 161        1.163819e+00        1.725236e+00        2.050669e-02
                 162        1.156689e+00        1.721726e+00        2.067824e-02
                 163        1.149708e+00        1.718217e+00        2.084703e-02
                 164        1.142881e+00        1.714709e+00        2.101302e-02
                 165        1.136211e+00        1.711203e+00        2.117614e-02
                 166        1.129701e+00        1.707700e+00        2.133635e-02
                 167        1.123355e+00        1.704201e+00        2.149359e-02
                 168        1.117176e+00        1.700707e+00        2.164781e-02
                 169        1.111169e+00        1.697218e+00        2.179897e-02
                 170        1.105335e+00        1.693737e+00        2.194702e-02
                 171        1.099679e+00        1.690263e+00        2.209192e-02
                 172        1.094203e+00        1.686797e+00        2.223362e-02
                 173        1.088911e+00        1.683341e+00        2.237209e-02
                 174        1.083804e+00        1.679896e+00        2.250729e-02
                 175        1.078885e+00        1.676461e+00        2.263918e-02
                 176        1.074157e+00        1.673039e+00        2.276773e-02
                 177        1.069621e+00        1.669630e+00        2.289291e-02
                 178        1.065280e+00        1.666235e+00        2.301469e-02
                 179        1.061134e+00        1.662854e+00        2.313305e-02
                 180        1.057186e+00        1.659489e+00        2.324796e-02
                 181        1.053438e+00        1.656141e+00        2.335940e-02
                 182        1.049889e+00        1.652810e+00        2.346736e-02
                 183        1.046541e+00        1.649497e+00        2.357181e-02
                 184        1.043394e+00        1.646203e+00        2.367274e-02
                 185        1.040447e+00        1.642929e+00        2.377016e-02
                 186        1.037701e+00        1.639675e+00        2.386404e-02
                 187        1.035154e+00        1.636442e+00        2.395438e-02
                 188        1.032805e+00        1.633231e+00        2.404119e-02
                 189        1.030651e+00        1.630043e+00        2.412447e-02
                 190        1.028693e+00        1.626878e+00        2.420422e-02
                 191        1.026926e+00        1.623737e+00        2.428046e-02
                 192        1.025348e+00        1.620620e+00        2.435320e-02
                 193        1.023957e+00        1.617529e+00        2.442246e-02
                 194        1.022749e+00        1.614463e+00        2.448825e-02
                 195        1.021720e+00        1.611423e+00        2.455060e-02
                 196        1.020865e+00        1.608410e+00        2.460954e-02
                 197        1.020180e+00        1.605424e+00        2.466510e-02
                 198        1.019661e+00        1.602466e+00        2.471731e-02
                 199        1.019301e+00        1.599535e+00        2.476622e-02
                 200        1.019096e+00        1.596633e+00        2.481185e-02
                 201        1.019039e+00        1.593759e+00        2.485425e-02
                 202        1.019125e+00        1.590915e+00        2.489348e-02
                 203        1.019347e+00        1.588099e+00        2.492957e-02
                 204        1.019698e+00        1.585313e+00        2.496259e-02
                 205        1.020172e+00        1.582556e+00        2.499258e-02
                 206        1.020763e+00        1.579829e+00        2.501961e-02
                 207        1.021464e+00        1.577131e+00        2.504372e-02
                 208        1.022267e+00        1.574464e+00        2.506499e-02
                 209        1.023165e+00        1.571826e+00        2.508348e-02
                 210        1.024151e+00        1.569218e+00        2.509925e-02
                 211        1.025220e+00        1.566640e+00        2.511236e-02
                 212        1.026363e+00        1.564091e+00        2.512289e-02
                 213        1.027573e+00        1.561573e+00        2.513089e-02
                 214        1.028845e+00        1.559083e+00        2.513645e-02
                 215        1.030171e+00        1.556623e+00        2.513963e-02
                 216        1.031544e+00        1.554192e+00        2.514050e-02
                 217        1.032959e+00        1.551790e+00        2.513913e-02
                 218        1.034408e+00        1.549417e+00        2.513559e-02
